"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","1.646,0","1.655,0","1.656,0","1.637,5","5,28K","-0,57%"
"29.09.2020","1.655,5","1.649,5","1.672,0","1.649,5","4,88K","-0,27%"
"28.09.2020","1.660,0","1.663,5","1.663,5","1.646,0","4,84K","0,03%"
"25.09.2020","1.659,5","1.651,5","1.696,5","1.638,0","11,43K","0,12%"
"24.09.2020","1.657,5","1.661,0","1.661,5","1.635,5","4,78K","0,27%"
"23.09.2020","1.653,0","1.650,0","1.797,0","1.601,0","15,60K","-0,21%"
"22.09.2020","1.656,5","1.674,5","1.742,5","1.651,5","8,49K","-0,21%"
"21.09.2020","1.660,0","1.689,5","1.689,5","1.656,0","5,72K","-0,36%"
"18.09.2020","1.666,0","1.699,0","1.727,5","1.666,0","7,51K","-1,97%"
"17.09.2020","1.699,5","1.689,0","1.708,5","1.650,0","4,32K","-0,41%"
"16.09.2020","1.706,5","1.723,0","1.724,0","1.692,5","5,26K","-0,55%"
"15.09.2020","1.716,0","1.717,0","1.722,5","1.703,0","4,99K","0,67%"
"14.09.2020","1.704,5","1.694,5","1.718,5","1.685,0","2,57K","1,55%"
"11.09.2020","1.678,5","1.666,5","1.680,0","1.661,5","3,27K","0,51%"
"10.09.2020","1.670,0","1.666,0","1.678,5","1.658,5","5,34K","-0,24%"
"09.09.2020","1.674,0","1.670,0","1.689,5","1.668,0","3,08K","0,15%"
"08.09.2020","1.671,5","1.711,0","1.720,0","1.663,5","6,31K","-2,48%"
"07.09.2020","1.714,0","1.705,0","1.716,0","1.700,0","2,45K","0,47%"
"04.09.2020","1.706,0","1.712,5","1.723,5","1.696,0","8,20K","-0,58%"
"03.09.2020","1.716,0","1.729,5","1.729,5","1.715,0","6,78K","-0,72%"
"02.09.2020","1.728,5","1.731,0","1.734,0","1.725,0","3,67K","-0,06%"
"01.09.2020","1.729,5","1.733,5","1.741,0","1.728,0","5,05K","-0,03%"
"31.08.2020","1.730,0","1.737,5","1.742,0","1.730,0","5,57K","-0,35%"
"28.08.2020","1.736,0","1.744,5","1.744,5","1.730,0","3,81K","-0,40%"
"27.08.2020","1.743,0","1.736,0","1.746,5","1.732,5","3,64K","0,23%"
"26.08.2020","1.739,0","1.744,5","1.754,5","1.735,5","7,05K","-0,23%"
"25.08.2020","1.743,0","1.741,0","1.754,5","1.738,5","5,02K","-0,03%"
"24.08.2020","1.743,5","1.741,0","1.757,0","1.737,5","4,08K","0,03%"
"21.08.2020","1.743,0","1.736,5","1.750,0","1.736,0","6,48K","0,11%"
"20.08.2020","1.741,0","1.752,0","1.761,5","1.735,5","18,31K","-1,30%"
"19.08.2020","1.764,0","1.765,0","1.768,0","1.753,5","4,94K","-0,06%"
"18.08.2020","1.765,0","1.768,0","1.771,0","1.758,0","5,04K","-0,23%"
"17.08.2020","1.769,0","1.768,5","1.782,0","1.760,0","11,57K","0,00%"
"14.08.2020","1.769,0","1.757,0","1.796,0","1.752,0","30,37K","1,03%"
"13.08.2020","1.751,0","1.750,0","1.772,0","1.748,5","19,41K","0,06%"
"12.08.2020","1.750,0","1.730,5","1.756,0","1.730,0","5,85K","0,26%"
"11.08.2020","1.745,5","1.740,5","1.752,5","1.736,0","7,13K","0,29%"
"10.08.2020","1.740,5","1.735,0","1.741,5","1.731,5","2,91K","0,32%"
"07.08.2020","1.735,0","1.741,5","1.741,5","1.735,0","2,22K","-0,20%"
"06.08.2020","1.738,5","1.741,5","1.744,5","1.735,5","4,52K","-0,17%"
"05.08.2020","1.741,5","1.726,0","1.744,5","1.726,0","9,98K","0,75%"
"04.08.2020","1.728,5","1.723,0","1.736,0","1.720,0","2,47K","0,09%"
"03.08.2020","1.727,0","1.730,0","1.735,5","1.720,0","6,88K","-0,35%"
"31.07.2020","1.733,0","1.736,5","1.742,5","1.727,0","3,41K","-0,20%"
"30.07.2020","1.736,5","1.734,5","1.747,5","1.732,0","4,37K","-0,14%"
"29.07.2020","1.739,0","1.729,5","1.747,5","1.725,0","8,89K","0,00%"
"28.07.2020","1.739,0","1.756,5","1.756,5","1.731,0","4,28K","-0,57%"
"27.07.2020","1.749,0","1.742,0","1.755,5","1.742,0","4,54K","0,26%"
"24.07.2020","1.744,5","1.744,0","1.749,0","1.722,5","3,64K","0,00%"
"23.07.2020","1.744,5","1.753,5","1.753,5","1.741,0","4,11K","0,09%"
"22.07.2020","1.743,0","1.753,5","1.763,5","1.737,0","7,98K","-0,11%"
"21.07.2020","1.745,0","1.737,0","1.756,5","1.733,0","6,89K","0,61%"
"20.07.2020","1.734,5","1.722,0","1.743,5","1.685,5","5,17K","0,14%"
"17.07.2020","1.732,0","1.721,5","1.732,0","1.721,0","3,41K","0,55%"
"16.07.2020","1.722,5","1.734,5","1.748,5","1.717,5","5,04K","-0,40%"
"15.07.2020","1.729,5","1.726,0","1.754,5","1.723,0","6,25K","0,49%"
"14.07.2020","1.721,0","1.717,5","1.741,5","1.715,0","7,06K","-0,55%"
"13.07.2020","1.730,5","1.730,5","1.757,5","1.722,5","9,82K","-0,57%"
"10.07.2020","1.740,5","1.723,5","1.745,5","1.722,0","6,00K","0,96%"
"09.07.2020","1.724,0","1.787,5","1.787,5","1.724,0","16,85K","-2,05%"
"08.07.2020","1.760,0","1.784,5","1.788,0","1.760,0","9,77K","-1,12%"
"07.07.2020","1.780,0","1.837,5","1.837,5","1.760,0","27,17K","-1,87%"
"06.07.2020","1.814,0","1.811,0","1.836,0","1.811,0","14,57K","0,33%"
"03.07.2020","1.808,0","1.784,5","1.824,5","1.777,5","47,50K","-3,47%"
"02.07.2020","1.873,0","1.838,5","1.888,5","1.838,0","34,12K","1,63%"
"30.06.2020","1.843,0","1.850,5","1.875,0","1.832,5","22,42K","-0,65%"
"29.06.2020","1.855,0","1.842,0","1.863,5","1.838,5","11,10K","0,24%"
"26.06.2020","1.850,5","1.852,0","1.877,0","1.848,0","8,33K","0,35%"
"25.06.2020","1.844,0","1.850,0","1.860,5","1.826,0","16,89K","-0,86%"
"23.06.2020","1.860,0","1.887,0","1.887,0","1.840,0","18,53K","0,54%"
"22.06.2020","1.850,0","1.826,0","1.864,0","1.826,0","26,85K","2,75%"
"19.06.2020","1.800,5","1.900,0","1.945,5","1.800,5","50,90K","-5,06%"
"18.06.2020","1.896,5","1.879,5","1.972,0","1.872,5","52,42K","1,63%"
"17.06.2020","1.866,0","1.848,0","2.157,5","1.829,0","90,52K","1,69%"
"16.06.2020","1.835,0","1.830,0","1.847,5","1.814,5","15,42K","1,75%"
"15.06.2020","1.803,5","1.790,0","1.844,0","1.770,5","16,18K","0,70%"
"11.06.2020","1.791,0","1.815,0","1.818,0","1.785,5","9,08K","-1,49%"
"10.06.2020","1.818,0","1.827,0","1.830,5","1.802,0","8,31K","0,17%"
"09.06.2020","1.815,0","1.838,0","1.838,0","1.794,0","9,27K","-0,27%"
"08.06.2020","1.820,0","1.841,0","1.846,0","1.810,5","17,84K","-0,19%"
"05.06.2020","1.823,5","1.823,5","1.833,5","1.790,5","5,70K","0,72%"
"04.06.2020","1.810,5","1.816,5","1.839,5","1.774,5","12,08K","-1,60%"
"03.06.2020","1.840,0","1.833,5","1.852,0","1.830,0","13,45K","0,79%"
"02.06.2020","1.825,5","1.843,0","1.854,5","1.823,5","7,82K","0,11%"
"01.06.2020","1.823,5","1.826,5","1.858,5","1.817,5","8,61K","0,50%"
"29.05.2020","1.814,5","1.813,5","1.823,5","1.802,0","8,35K","0,06%"
"28.05.2020","1.813,5","1.815,0","1.830,0","1.808,5","11,00K","-0,17%"
"27.05.2020","1.816,5","1.821,5","1.829,0","1.805,5","10,30K","-0,47%"
"26.05.2020","1.825,0","1.810,0","1.835,5","1.806,0","10,91K","1,16%"
"25.05.2020","1.804,0","1.796,0","1.816,0","1.795,0","4,17K","1,29%"
"22.05.2020","1.781,0","1.788,0","1.795,0","1.766,5","9,10K","-0,89%"
"21.05.2020","1.797,0","1.812,0","1.839,0","1.793,5","19,10K","-1,24%"
"20.05.2020","1.819,5","1.791,5","1.820,0","1.779,5","17,68K","1,53%"
"19.05.2020","1.792,0","1.771,0","1.823,0","1.771,0","24,75K","0,84%"
"18.05.2020","1.777,0","1.720,0","1.778,5","1.710,5","41,30K","0,37%"
"15.05.2020","1.770,5","1.787,0","1.804,0","1.765,0","12,59K","0,08%"
"14.05.2020","1.769,0","1.765,0","1.815,0","1.744,0","18,58K","1,14%"
"13.05.2020","1.749,0","1.760,0","1.765,0","1.742,0","14,83K","-0,85%"
"12.05.2020","1.764,0","1.769,5","1.782,0","1.748,0","15,67K","0,51%"
"08.05.2020","1.755,0","1.759,0","1.763,0","1.738,5","2,51K","0,11%"
"07.05.2020","1.753,0","1.750,0","1.759,0","1.743,5","2,41K","0,54%"
"06.05.2020","1.743,5","1.765,0","1.765,0","1.740,5","10,15K","-0,46%"
"05.05.2020","1.751,5","1.750,0","1.774,5","1.726,0","9,25K","1,10%"
"04.05.2020","1.732,5","1.735,0","1.743,5","1.691,5","8,81K","-0,72%"
"30.04.2020","1.745,0","1.778,0","1.788,0","1.715,0","26,22K","-0,57%"
"29.04.2020","1.755,0","1.752,5","1.768,0","1.742,0","18,50K","1,04%"
"28.04.2020","1.737,0","1.710,0","1.761,5","1.704,0","23,82K","1,08%"
