"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","170,95","171,04","171,93","169,80","44,82M","0,19%"
"29.09.2020","170,63","172,75","173,46","170,03","46,86M","-1,22%"
"28.09.2020","172,74","174,20","175,38","171,29","50,55M","-0,59%"
"25.09.2020","173,77","175,10","175,17","169,60","96,33M","-0,26%"
"24.09.2020","174,23","176,00","178,49","171,90","49,89M","-1,56%"
"23.09.2020","177,00","179,82","180,37","176,81","31,92M","-1,12%"
"22.09.2020","179,00","176,51","180,90","176,42","36,41M","1,03%"
"21.09.2020","177,17","181,37","181,37","175,36","41,36M","-2,40%"
"18.09.2020","181,52","184,40","184,70","181,34","45,24M","-1,29%"
"17.09.2020","183,90","181,80","184,84","180,34","49,88M","0,35%"
"16.09.2020","183,26","182,67","184,16","181,35","37,43M","0,57%"
"15.09.2020","182,22","178,03","182,95","178,01","42,49M","2,26%"
"14.09.2020","178,19","178,44","180,80","177,52","37,72M","0,08%"
"11.09.2020","178,05","174,43","178,27","173,10","36,95M","2,45%"
"10.09.2020","173,80","173,90","174,64","171,11","34,02M","0,06%"
"09.09.2020","173,69","172,72","175,35","172,33","41,98M","0,43%"
"08.09.2020","172,95","176,99","177,43","172,40","63,85M","-2,31%"
"07.09.2020","177,04","178,63","179,75","175,94","39,00M","-1,40%"
"04.09.2020","179,55","178,98","180,56","178,00","43,04M","0,23%"
"03.09.2020","179,13","182,48","182,59","178,60","62,96M","-1,55%"
"02.09.2020","181,95","184,80","186,29","181,10","50,33M","-1,23%"
"01.09.2020","184,22","181,40","184,87","181,01","48,04M","1,77%"
"31.08.2020","181,01","183,11","184,28","180,51","47,47M","-1,03%"
"28.08.2020","182,90","184,95","185,22","182,48","34,31M","-0,91%"
"27.08.2020","184,58","187,50","188,01","182,62","38,19M","-1,55%"
"26.08.2020","187,48","186,22","188,00","185,00","25,46M","0,66%"
"25.08.2020","186,25","187,45","187,99","184,73","19,56M","-0,45%"
"24.08.2020","187,10","185,40","187,44","184,84","24,30M","1,40%"
"21.08.2020","184,51","187,25","187,79","183,50","33,85M","-1,31%"
"20.08.2020","186,95","188,78","188,94","185,58","37,70M","-1,22%"
"19.08.2020","189,26","190,48","191,99","189,00","31,49M","-0,55%"
"18.08.2020","190,30","190,07","191,95","189,25","27,79M","-0,09%"
"17.08.2020","190,47","193,83","194,68","189,20","55,76M","-1,22%"
"14.08.2020","192,83","194,27","194,27","190,71","29,79M","-0,48%"
"13.08.2020","193,76","192,51","194,44","191,25","37,89M","0,50%"
"12.08.2020","192,80","190,50","193,29","189,32","35,62M","1,63%"
"11.08.2020","189,70","187,88","192,40","187,88","51,93M","1,07%"
"10.08.2020","187,70","187,49","188,85","186,83","24,24M","0,25%"
"07.08.2020","187,23","188,45","188,57","185,81","28,84M","-0,97%"
"06.08.2020","189,07","189,58","189,92","187,13","42,87M","-0,04%"
"05.08.2020","189,15","183,58","189,98","183,35","75,45M","3,19%"
"04.08.2020","183,31","184,05","184,68","182,17","32,45M","-0,16%"
"03.08.2020","183,60","182,50","184,03","181,72","28,66M","0,55%"
"31.07.2020","182,59","182,60","184,84","181,61","44,97M","0,04%"
"30.07.2020","182,52","184,44","184,73","180,91","34,05M","-1,17%"
"29.07.2020","184,69","184,50","185,35","183,42","27,91M","0,21%"
"28.07.2020","184,30","185,10","185,46","183,60","26,64M","-0,39%"
"27.07.2020","185,03","185,52","185,92","184,20","22,79M","-0,23%"
"24.07.2020","185,45","184,86","186,45","184,12","30,44M","0,41%"
"23.07.2020","184,69","187,50","188,30","184,40","29,81M","-1,31%"
"22.07.2020","187,15","187,03","188,59","186,07","22,77M","0,20%"
"21.07.2020","186,78","189,00","189,77","186,25","44,43M","-0,84%"
"20.07.2020","188,36","184,68","188,41","183,88","30,03M","2,01%"
"17.07.2020","184,65","183,80","184,93","182,87","25,49M","0,73%"
"16.07.2020","183,32","181,06","183,80","181,06","29,45M","0,58%"
"15.07.2020","182,26","180,60","184,27","179,80","73,99M","-5,86%"
"14.07.2020","193,60","195,02","196,65","192,48","83,20M","-1,07%"
"13.07.2020","195,70","201,60","202,33","195,50","63,04M","-2,61%"
"10.07.2020","200,94","198,22","201,70","197,22","39,06M","0,75%"
"09.07.2020","199,44","201,48","202,00","198,40","40,53M","-0,86%"
"08.07.2020","201,17","197,98","201,19","197,55","30,74M","1,62%"
"07.07.2020","197,96","199,70","199,94","197,75","35,19M","-1,02%"
"06.07.2020","199,99","199,21","201,75","198,53","46,53M","1,41%"
"03.07.2020","197,20","195,64","197,48","194,77","26,44M","0,98%"
"02.07.2020","195,28","195,39","195,84","194,40","34,18M","0,50%"
"30.06.2020","194,31","197,90","198,48","193,24","52,32M","-1,83%"
"29.06.2020","197,94","192,64","198,10","192,58","45,84M","2,56%"
"26.06.2020","193,00","192,83","195,69","190,51","60,45M","0,39%"
"25.06.2020","192,25","191,72","192,48","190,55","49,04M","-1,32%"
"23.06.2020","194,83","194,80","196,32","194,00","33,83M","0,27%"
"22.06.2020","194,30","195,35","195,35","192,62","36,80M","-0,77%"
"19.06.2020","195,81","194,17","196,07","193,82","45,22M","1,46%"
"18.06.2020","193,00","195,45","195,57","191,85","45,81M","-1,46%"
"17.06.2020","195,86","197,98","199,08","195,21","34,50M","-0,37%"
"16.06.2020","196,59","196,00","199,59","195,20","43,44M","1,23%"
"15.06.2020","194,20","193,86","196,15","191,00","54,40M","-1,29%"
"11.06.2020","196,74","200,20","200,20","195,15","48,98M","-2,48%"
"10.06.2020","201,75","204,84","205,27","200,53","41,52M","-1,51%"
"09.06.2020","204,84","205,44","206,10","201,57","35,38M","-0,03%"
"08.06.2020","204,91","204,98","206,50","202,97","40,15M","0,92%"
"05.06.2020","203,05","202,69","204,84","201,51","44,84M","0,79%"
"04.06.2020","201,46","207,99","207,99","200,60","72,25M","-3,14%"
"03.06.2020","208,00","203,07","208,15","202,01","65,27M","2,99%"
"02.06.2020","201,97","199,44","202,19","198,72","45,34M","1,64%"
"01.06.2020","198,72","200,25","202,47","197,15","54,26M","-0,62%"
"29.05.2020","199,95","196,25","199,95","193,20","172,68M","1,57%"
"28.05.2020","196,86","194,36","196,98","194,17","39,98M","1,09%"
"27.05.2020","194,73","196,05","197,75","193,15","55,32M","-1,08%"
"26.05.2020","196,86","198,95","202,30","196,30","66,18M","-0,35%"
"25.05.2020","197,55","195,10","197,55","195,10","20,06M","1,65%"
"22.05.2020","194,35","194,00","195,76","192,21","42,41M","-0,20%"
"21.05.2020","194,74","196,05","199,26","191,40","90,17M","-1,02%"
"20.05.2020","196,74","193,57","197,27","192,79","73,86M","1,31%"
"19.05.2020","194,20","193,00","194,39","191,10","60,40M","0,88%"
"18.05.2020","192,50","185,50","192,50","185,14","60,17M","4,70%"
"15.05.2020","183,85","185,61","186,98","183,85","47,92M","-0,03%"
"14.05.2020","183,91","183,23","184,85","181,68","49,41M","-0,16%"
"13.05.2020","184,20","185,55","185,55","183,80","33,28M","-1,06%"
"12.05.2020","186,17","184,89","187,20","183,20","49,98M","0,45%"
"08.05.2020","185,34","186,33","186,64","183,10","61,00M","-0,27%"
"07.05.2020","185,85","187,50","190,30","185,50","67,28M","-0,64%"
"06.05.2020","187,05","190,53","191,05","187,05","46,40M","-1,55%"
