"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","18.808,0","18.716,0","18.916,0","18.650,0","153,50K","0,36%"
"29.09.2020","18.740,0","18.800,0","18.868,0","18.582,0","165,27K","-0,46%"
"28.09.2020","18.826,0","18.900,0","19.010,0","18.716,0","178,18K","-0,33%"
"25.09.2020","18.888,0","18.850,0","18.930,0","18.556,0","224,68K","0,58%"
"24.09.2020","18.780,0","18.780,0","18.880,0","18.592,0","258,00K","-0,42%"
"23.09.2020","18.860,0","18.750,0","19.286,0","18.682,0","328,75K","0,54%"
"22.09.2020","18.758,0","18.690,0","18.868,0","18.490,0","291,37K","0,34%"
"21.09.2020","18.694,0","19.276,0","19.336,0","18.542,0","449,90K","-3,14%"
"18.09.2020","19.300,0","19.432,0","19.512,0","19.252,0","263,14K","-0,36%"
"17.09.2020","19.370,0","19.168,0","19.498,0","19.054,0","373,10K","0,52%"
"16.09.2020","19.270,0","19.570,0","19.588,0","19.086,0","687,27K","-1,85%"
"15.09.2020","19.634,0","19.502,0","19.776,0","19.450,0","470,62K","0,73%"
"14.09.2020","19.492,0","19.446,0","19.620,0","19.410,0","245,15K","0,71%"
"11.09.2020","19.354,0","19.500,0","19.520,0","19.174,0","309,46K","-0,89%"
"10.09.2020","19.528,0","19.704,0","19.804,0","19.378,0","250,53K","-0,91%"
"09.09.2020","19.708,0","19.842,0","19.900,0","19.602,0","172,05K","-0,92%"
"08.09.2020","19.890,0","20.050,0","20.178,0","19.680,0","285,59K","-0,58%"
"07.09.2020","20.006,0","19.910,0","20.052,0","19.814,0","116,64K","0,41%"
"04.09.2020","19.924,0","19.812,0","20.004,0","19.628,0","269,14K","0,43%"
"03.09.2020","19.838,0","19.916,0","20.142,0","19.786,0","276,76K","-0,39%"
"02.09.2020","19.916,0","19.968,0","20.238,0","19.526,0","642,62K","-0,07%"
"01.09.2020","19.930,0","19.450,0","19.944,0","19.332,0","379,66K","2,76%"
"31.08.2020","19.394,0","19.442,0","19.672,0","19.250,0","402,70K","0,15%"
"28.08.2020","19.364,0","19.712,0","19.770,0","19.300,0","285,18K","-1,56%"
"27.08.2020","19.670,0","20.000,0","20.020,0","19.602,0","249,05K","-1,53%"
"26.08.2020","19.976,0","19.804,0","20.070,0","19.600,0","269,59K","0,74%"
"25.08.2020","19.830,0","20.050,0","20.130,0","19.692,0","189,39K","-0,85%"
"24.08.2020","20.000,0","20.048,0","20.172,0","19.818,0","214,05K","0,29%"
"21.08.2020","19.942,0","20.048,0","20.134,0","19.570,0","310,17K","-0,23%"
"20.08.2020","19.988,0","20.440,0","20.440,0","19.808,0","439,09K","-2,50%"
"19.08.2020","20.500,0","20.752,0","20.820,0","20.450,0","286,29K","-1,43%"
"18.08.2020","20.798,0","20.690,0","20.918,0","20.504,0","214,40K","0,42%"
"17.08.2020","20.710,0","20.850,0","21.098,0","20.540,0","289,27K","-0,37%"
"14.08.2020","20.786,0","20.864,0","20.930,0","20.610,0","173,89K","-0,69%"
"13.08.2020","20.930,0","20.790,0","21.136,0","20.678,0","385,99K","0,77%"
"12.08.2020","20.770,0","20.418,0","20.822,0","20.308,0","335,36K","1,68%"
"11.08.2020","20.426,0","20.570,0","20.834,0","20.352,0","423,76K","-0,90%"
"10.08.2020","20.612,0","20.400,0","20.698,0","20.296,0","211,01K","0,85%"
"07.08.2020","20.438,0","20.780,0","20.800,0","20.232,0","292,94K","-1,94%"
"06.08.2020","20.842,0","20.920,0","21.000,0","20.712,0","225,28K","-0,21%"
"05.08.2020","20.886,0","20.450,0","20.944,0","20.390,0","352,40K","2,39%"
"04.08.2020","20.398,0","20.070,0","20.414,0","19.936,0","265,63K","1,90%"
"03.08.2020","20.018,0","19.606,0","20.128,0","19.456,0","284,20K","1,87%"
"31.07.2020","19.650,0","19.682,0","19.924,0","19.530,0","202,22K","0,15%"
