"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","5,58","5,50","5,60","5,50","198,50K","0,00%"
"29.09.2020","5,58","5,62","5,62","5,46","384,40K","0,00%"
"28.09.2020","5,58","5,48","5,62","5,45","559,50K","2,01%"
"25.09.2020","5,47","5,64","5,67","4,92","954,80K","-3,53%"
"24.09.2020","5,67","5,75","5,75","5,61","306,40K","-1,39%"
"23.09.2020","5,75","5,75","5,78","5,70","151,70K","-0,17%"
"22.09.2020","5,76","5,88","5,88","5,41","288,30K","-0,17%"
"21.09.2020","5,77","5,81","5,83","5,75","165,40K","-1,03%"
"18.09.2020","5,83","5,82","5,84","5,78","101,70K","0,17%"
"17.09.2020","5,82","5,82","5,83","5,75","138,50K","0,52%"
"16.09.2020","5,79","5,91","5,96","5,75","472,10K","-1,86%"
"15.09.2020","5,90","5,92","5,92","5,84","271,30K","-0,17%"
"14.09.2020","5,91","5,88","5,92","5,82","181,10K","1,72%"
"11.09.2020","5,81","5,73","5,86","5,73","115,30K","0,35%"
"10.09.2020","5,79","5,84","5,84","5,64","131,10K","0,17%"
"09.09.2020","5,78","5,60","5,84","5,59","315,30K","1,76%"
"08.09.2020","5,68","5,94","5,94","4,50","657,60K","-3,57%"
"07.09.2020","5,89","5,83","5,93","5,82","205,10K","0,86%"
"04.09.2020","5,84","5,86","5,89","5,78","200,30K","-0,68%"
"03.09.2020","5,88","5,94","5,96","5,86","218,50K","-1,34%"
"02.09.2020","5,96","5,99","6,00","5,94","113,20K","-0,50%"
"01.09.2020","5,99","6,01","6,04","5,95","170,10K","-0,17%"
"31.08.2020","6,00","6,00","6,05","5,95","92,80K","0,00%"
"28.08.2020","6,00","6,03","6,04","5,99","475,60K","-0,50%"
"27.08.2020","6,03","6,00","6,04","5,99","88,40K","0,33%"
"26.08.2020","6,01","6,01","6,04","6,01","59,40K","0,00%"
"25.08.2020","6,01","6,01","6,07","6,00","260,10K","-0,17%"
"24.08.2020","6,02","6,01","6,08","6,01","157,60K","-0,17%"
"21.08.2020","6,03","6,03","6,06","6,00","123,40K","0,17%"
"20.08.2020","6,02","6,04","6,07","6,02","142,40K","-0,99%"
"19.08.2020","6,08","6,09","6,11","6,03","95,90K","0,33%"
"18.08.2020","6,06","6,05","6,09","6,03","211,80K","0,00%"
"17.08.2020","6,06","6,12","6,13","6,04","209,50K","-1,14%"
"14.08.2020","6,13","6,15","6,15","5,96","311,90K","0,00%"
"13.08.2020","6,13","6,07","6,15","6,07","474,20K","0,16%"
"12.08.2020","6,12","6,15","6,15","6,04","219,00K","0,16%"
"11.08.2020","6,11","6,05","6,14","6,03","204,00K","0,66%"
"10.08.2020","6,07","6,04","6,09","6,04","116,80K","0,00%"
"07.08.2020","6,07","6,15","6,15","5,99","305,90K","-0,98%"
"06.08.2020","6,13","6,10","6,16","6,10","153,80K","0,00%"
"05.08.2020","6,13","6,12","6,16","5,98","456,80K","0,33%"
"04.08.2020","6,11","6,12","6,18","6,07","293,80K","0,00%"
"03.08.2020","6,11","6,16","6,18","5,94","494,50K","-0,65%"
"31.07.2020","6,15","6,11","6,16","6,05","203,50K","1,15%"
"30.07.2020","6,08","6,13","6,15","6,03","182,30K","0,00%"
"29.07.2020","6,08","6,14","6,14","6,01","211,30K","0,50%"
"28.07.2020","6,05","6,02","6,08","6,01","85,20K","0,50%"
