"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","38,60","38,76","39,15","38,50","13,26M","-1,30%"
"29.09.2020","39,11","38,91","39,33","38,21","14,82M","0,41%"
"28.09.2020","38,95","38,38","39,24","38,31","13,30M","1,43%"
"25.09.2020","38,40","38,01","38,77","37,83","18,09M","0,87%"
"24.09.2020","38,07","39,47","39,47","37,60","27,60M","-3,04%"
"23.09.2020","39,26","38,90","40,04","38,63","32,96M","0,90%"
"22.09.2020","38,92","38,74","39,15","38,06","32,82M","-1,51%"
"21.09.2020","39,51","39,61","39,90","39,04","20,40M","-0,25%"
"18.09.2020","39,61","39,33","39,97","38,97","26,10M","0,66%"
"17.09.2020","39,35","38,56","39,65","38,24","22,38M","2,17%"
"16.09.2020","38,51","39,19","39,24","38,35","15,70M","-1,55%"
"15.09.2020","39,12","38,70","39,35","38,51","21,90M","1,27%"
"14.09.2020","38,63","37,22","38,69","37,22","24,33M","3,18%"
"11.09.2020","37,44","37,10","37,65","36,89","24,73M","1,24%"
"10.09.2020","36,98","37,51","37,56","36,53","20,15M","-1,33%"
"09.09.2020","37,48","36,35","37,52","36,21","22,08M","3,09%"
"08.09.2020","36,35","36,99","37,18","36,15","27,86M","-1,56%"
"07.09.2020","36,93","37,01","37,42","36,66","15,92M","-0,71%"
"04.09.2020","37,19","36,90","37,44","36,90","13,61M","0,61%"
"03.09.2020","36,97","37,65","37,74","36,85","20,01M","-1,88%"
"02.09.2020","37,68","38,30","38,38","37,33","25,19M","-1,70%"
"01.09.2020","38,33","37,99","38,34","37,65","12,00M","1,27%"
"31.08.2020","37,85","38,65","38,85","37,55","24,17M","-1,94%"
"28.08.2020","38,60","38,90","38,90","38,33","10,46M","-0,58%"
"27.08.2020","38,83","39,55","39,67","38,58","12,90M","-1,92%"
"26.08.2020","39,58","39,51","39,79","39,44","7,07M","-0,11%"
"25.08.2020","39,63","39,74","39,95","39,39","9,41M","-0,38%"
"24.08.2020","39,78","39,86","40,04","39,59","5,15M","0,29%"
