"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","2.136,20","2.143,00","2.147,40","2.115,00","800,07K","-0,32%"
"29.09.2020","2.143,00","2.218,00","2.218,00","2.135,40","962,20K","-3,03%"
"28.09.2020","2.210,00","2.181,20","2.240,00","2.170,00","797,59K","0,45%"
"25.09.2020","2.200,00","2.227,80","2.229,40","2.163,00","692,74K","-0,75%"
"24.09.2020","2.216,60","2.299,00","2.299,00","2.179,00","2,22M","-4,67%"
"23.09.2020","2.325,20","2.350,00","2.439,80","2.206,20","1,85M","0,78%"
"22.09.2020","2.307,20","2.202,20","2.357,60","2.188,00","875,67K","4,76%"
"21.09.2020","2.202,40","2.222,00","2.238,00","2.170,20","413,40K","-0,79%"
"18.09.2020","2.220,00","2.192,00","2.224,00","2.172,40","348,12K","-0,09%"
"17.09.2020","2.222,00","2.160,00","2.222,00","2.134,00","657,97K","2,07%"
"16.09.2020","2.177,00","2.237,00","2.259,80","2.166,00","490,17K","-2,32%"
"15.09.2020","2.228,80","2.230,60","2.288,00","2.211,60","414,98K","0,85%"
"14.09.2020","2.210,00","2.142,00","2.247,00","2.136,20","460,99K","3,80%"
"11.09.2020","2.129,00","2.145,00","2.155,60","2.120,00","252,72K","-0,43%"
"10.09.2020","2.138,20","2.169,00","2.181,20","2.117,00","281,38K","-0,22%"
"09.09.2020","2.143,00","2.101,00","2.170,00","2.072,40","371,54K","1,55%"
"08.09.2020","2.110,20","2.199,80","2.205,00","2.069,20","574,65K","-3,30%"
"07.09.2020","2.182,20","2.220,00","2.223,60","2.169,80","287,88K","-0,81%"
"04.09.2020","2.200,00","2.248,00","2.310,00","2.160,00","686,43K","-3,00%"
"03.09.2020","2.268,00","2.329,00","2.375,00","2.230,00","524,60K","-2,11%"
"02.09.2020","2.316,80","2.400,00","2.418,00","2.310,80","447,96K","-3,06%"
"01.09.2020","2.390,00","2.365,00","2.415,80","2.341,00","527,50K","1,70%"
"31.08.2020","2.350,00","2.320,00","2.364,80","2.304,80","365,92K","2,22%"
"28.08.2020","2.299,00","2.324,40","2.359,00","2.262,80","601,83K","-1,55%"
"27.08.2020","2.335,20","2.348,00","2.448,00","2.304,00","1,02M","-0,10%"
"26.08.2020","2.337,60","2.350,00","2.360,00","2.282,20","1,12M","1,02%"
"25.08.2020","2.314,00","2.192,00","2.344,80","2.190,00","752,68K","6,02%"
"24.08.2020","2.182,60","2.172,00","2.214,80","2.172,00","416,28K","1,52%"
"21.08.2020","2.150,00","2.149,00","2.224,00","2.120,20","538,46K","1,00%"
"20.08.2020","2.128,80","2.160,00","2.189,20","2.110,00","455,80K","-1,58%"
"19.08.2020","2.163,00","2.086,80","2.195,00","2.083,00","584,46K","3,99%"
"18.08.2020","2.080,00","2.090,40","2.138,40","2.060,20","306,19K","-1,23%"
"17.08.2020","2.106,00","2.087,00","2.145,80","2.080,00","553,64K","1,26%"
"14.08.2020","2.079,80","2.015,00","2.085,00","2.015,00","344,85K","1,75%"
"13.08.2020","2.044,00","1.990,00","2.055,00","1.975,00","396,19K","2,89%"
"12.08.2020","1.986,60","1.983,00","1.989,40","1.957,00","133,01K","0,69%"
"11.08.2020","1.973,00","2.006,00","2.008,00","1.970,00","286,14K","-1,32%"
"10.08.2020","1.999,40","2.000,00","2.009,00","1.970,00","117,03K","0,67%"
"07.08.2020","1.986,00","2.008,40","2.010,00","1.972,00","164,41K","0,05%"
"06.08.2020","1.985,00","2.035,00","2.040,00","1.980,00","265,89K","-2,28%"
"05.08.2020","2.031,40","2.049,80","2.054,80","2.025,00","175,83K","-0,57%"
"04.08.2020","2.043,00","2.049,80","2.062,00","2.016,00","227,25K","0,74%"
"03.08.2020","2.028,00","2.000,00","2.051,20","1.994,20","271,65K","2,68%"
"31.07.2020","1.975,00","2.000,20","2.022,00","1.960,00","118,05K","-0,75%"
"30.07.2020","1.990,00","2.008,80","2.026,00","1.970,20","119,26K","-0,79%"
"29.07.2020","2.005,80","2.020,60","2.021,60","1.985,00","259,65K","1,05%"
"28.07.2020","1.985,00","1.915,20","1.990,60","1.915,00","168,36K","3,66%"
"27.07.2020","1.915,00","1.915,80","1.935,00","1.905,20","183,18K","0,46%"
"24.07.2020","1.906,20","1.912,00","1.915,80","1.882,80","205,52K","-0,25%"
"23.07.2020","1.911,00","1.886,00","1.915,60","1.876,60","330,72K","2,58%"
"22.07.2020","1.863,00","1.869,00","1.874,20","1.835,60","181,23K","0,64%"
"21.07.2020","1.851,20","1.830,00","1.878,60","1.830,00","168,98K","1,60%"
"20.07.2020","1.822,00","1.839,00","1.841,60","1.810,20","103,40K","-0,27%"
"17.07.2020","1.827,00","1.825,00","1.840,00","1.808,00","101,13K","0,33%"
"16.07.2020","1.821,00","1.801,20","1.822,00","1.801,20","43,35K","0,51%"
"15.07.2020","1.811,80","1.808,80","1.845,00","1.790,00","117,70K","1,41%"
"14.07.2020","1.786,60","1.825,00","1.825,00","1.781,40","95,07K","-1,94%"
"13.07.2020","1.822,00","1.822,40","1.838,00","1.818,00","90,66K","0,56%"
"10.07.2020","1.811,80","1.800,80","1.838,00","1.800,80","88,85K","0,21%"
"09.07.2020","1.808,00","1.840,20","1.855,00","1.782,60","165,08K","-1,66%"
"08.07.2020","1.838,60","1.878,00","1.889,80","1.835,00","136,96K","-1,84%"
"07.07.2020","1.873,00","1.899,00","1.927,40","1.852,00","643,21K","1,13%"
"06.07.2020","1.852,00","1.803,20","1.918,00","1.763,80","915,83K","5,54%"
"03.07.2020","1.754,80","1.689,60","1.776,60","1.665,00","372,16K","5,33%"
