"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","4.970,0","4.955,0","4.990,0","4.874,5","421,78K","0,61%"
"29.09.2020","4.940,0","5.068,5","5.086,5","4.926,0","469,01K","-2,76%"
"28.09.2020","5.080,0","5.040,0","5.114,0","5.023,0","347,12K","1,09%"
"25.09.2020","5.025,0","5.060,5","5.129,5","4.976,5","485,19K","-0,63%"
"24.09.2020","5.057,0","4.980,0","5.082,0","4.966,0","585,77K","1,35%"
"23.09.2020","4.989,5","4.952,5","5.138,5","4.918,0","762,96K","0,55%"
"22.09.2020","4.962,0","4.758,5","4.965,0","4.717,0","654,09K","3,97%"
"21.09.2020","4.772,5","4.813,0","4.813,0","4.691,5","468,30K","-0,68%"
"18.09.2020","4.805,0","4.865,0","4.875,0","4.788,0","395,04K","-1,19%"
"17.09.2020","4.863,0","4.682,0","4.889,5","4.677,0","787,60K","3,25%"
"16.09.2020","4.710,0","4.721,5","4.753,0","4.637,0","274,58K","-0,31%"
"15.09.2020","4.724,5","4.663,5","4.758,0","4.609,5","382,88K","1,13%"
"14.09.2020","4.671,5","4.685,0","4.773,5","4.632,0","459,10K","0,17%"
"11.09.2020","4.663,5","4.499,5","4.685,0","4.468,0","322,33K","4,21%"
"10.09.2020","4.475,0","4.472,0","4.518,0","4.420,0","218,00K","0,43%"
"09.09.2020","4.456,0","4.532,0","4.532,0","4.403,0","279,47K","-1,74%"
"08.09.2020","4.535,0","4.562,5","4.582,5","4.448,5","312,06K","-0,52%"
"07.09.2020","4.558,5","4.585,0","4.604,5","4.540,0","150,81K","-0,70%"
"04.09.2020","4.590,5","4.555,5","4.616,0","4.528,0","251,52K","0,56%"
"03.09.2020","4.565,0","4.577,0","4.597,5","4.537,5","274,93K","0,01%"
"02.09.2020","4.564,5","4.500,0","4.619,0","4.444,5","518,25K","1,49%"
"01.09.2020","4.497,5","4.480,0","4.540,0","4.376,0","556,70K","0,51%"
"31.08.2020","4.474,5","4.590,0","4.603,0","4.420,5","468,24K","-2,34%"
"28.08.2020","4.581,5","4.735,5","4.735,5","4.560,0","481,24K","-3,10%"
"27.08.2020","4.728,0","4.669,0","4.746,0","4.652,5","422,30K","1,33%"
