"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","2.215,0","2.195,0","2.215,0","2.180,0","0,02K","1,14%"
"29.09.2020","2.190,0","2.200,0","2.210,0","2.170,0","0,13K","-0,68%"
"28.09.2020","2.205,0","2.225,0","2.440,0","2.195,0","0,09K","0,46%"
"25.09.2020","2.195,0","2.195,0","2.225,0","2.195,0","0,04K","-0,68%"
"24.09.2020","2.210,0","2.185,0","2.245,0","2.185,0","0,04K","-0,90%"
"23.09.2020","2.230,0","2.185,0","2.270,0","2.185,0","0,06K","-0,89%"
"22.09.2020","2.250,0","2.185,0","2.280,0","2.180,0","0,16K","3,21%"
"21.09.2020","2.180,0","2.245,0","2.250,0","2.175,0","0,54K","-2,90%"
"18.09.2020","2.245,0","2.250,0","2.260,0","2.230,0","0,04K","0,45%"
"17.09.2020","2.235,0","2.230,0","2.250,0","2.225,0","0,14K","-1,97%"
"16.09.2020","2.280,0","2.290,0","2.295,0","2.275,0","0,04K","-0,22%"
"15.09.2020","2.285,0","2.295,0","2.295,0","2.285,0","0,01K","0,22%"
"14.09.2020","2.280,0","2.280,0","2.285,0","2.270,0","0,07K","0,22%"
"11.09.2020","2.275,0","2.250,0","2.280,0","2.245,0","0,05K","0,22%"
"10.09.2020","2.270,0","2.245,0","2.280,0","2.245,0","0,10K","0,89%"
"09.09.2020","2.250,0","2.225,0","2.250,0","2.205,0","0,05K","1,35%"
"08.09.2020","2.220,0","2.215,0","2.250,0","2.210,0","0,08K","-1,11%"
"07.09.2020","2.245,0","2.225,0","2.260,0","2.200,0","0,16K","0,67%"
"04.09.2020","2.230,0","2.235,0","2.260,0","2.225,0","0,09K","-0,22%"
"03.09.2020","2.235,0","2.270,0","2.285,0","2.235,0","0,09K","-1,32%"
"02.09.2020","2.265,0","2.260,0","2.280,0","2.260,0","0,03K","0,22%"
"01.09.2020","2.260,0","2.245,0","2.270,0","2.235,0","0,09K","0,22%"
"31.08.2020","2.255,0","2.295,0","2.300,0","2.250,0","0,03K","-0,88%"
"28.08.2020","2.275,0","2.290,0","2.300,0","2.240,0","0,12K","0,22%"
"27.08.2020","2.270,0","2.330,0","2.330,0","2.240,0","0,16K","-0,66%"
"26.08.2020","2.285,0","2.295,0","2.330,0","2.250,0","0,45K","-0,22%"
"25.08.2020","2.290,0","2.315,0","2.475,0","2.235,0","1,05K","-0,43%"
"24.08.2020","2.300,0","2.290,0","2.305,0","2.280,0","0,05K","0,22%"
"21.08.2020","2.295,0","2.330,0","2.340,0","2.240,0","0,58K","-0,22%"
"20.08.2020","2.300,0","2.310,0","2.330,0","2.300,0","0,10K","-1,50%"
"19.08.2020","2.335,0","2.365,0","2.365,0","2.330,0","0,04K","-1,06%"
"18.08.2020","2.360,0","2.360,0","2.365,0","2.360,0","0,10K","-0,21%"
"17.08.2020","2.365,0","2.330,0","2.390,0","2.330,0","0,17K","1,50%"
"14.08.2020","2.330,0","2.355,0","2.355,0","2.330,0","0,07K","-0,43%"
"13.08.2020","2.340,0","2.315,0","2.345,0","2.240,0","0,15K","0,21%"
"12.08.2020","2.335,0","2.365,0","2.365,0","2.305,0","0,09K","-1,27%"
"11.08.2020","2.365,0","2.305,0","2.365,0","2.230,0","0,12K","1,28%"
