"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","146,37","148,48","149,57","146,37","10,25M","-1,33%"
"29.09.2020","148,35","147,60","149,33","145,22","13,09M","0,58%"
"28.09.2020","147,50","145,25","148,12","144,89","7,52M","1,97%"
"25.09.2020","144,65","145,20","147,98","143,10","8,02M","-0,45%"
"24.09.2020","145,30","144,17","145,85","141,35","11,42M","0,97%"
"23.09.2020","143,90","145,00","147,15","143,26","12,05M","-0,46%"
"22.09.2020","144,57","140,80","148,70","140,80","16,46M","1,64%"
"21.09.2020","142,24","146,49","146,49","140,41","11,09M","-2,75%"
"18.09.2020","146,26","149,51","150,00","145,50","14,49M","-1,63%"
"17.09.2020","148,68","144,83","149,42","144,23","19,47M","2,14%"
"16.09.2020","145,57","140,00","145,90","139,80","19,16M","4,10%"
"15.09.2020","139,84","138,02","140,27","137,51","8,05M","1,49%"
"14.09.2020","137,79","139,21","139,66","137,01","10,38M","-0,43%"
"11.09.2020","138,39","139,31","139,85","137,85","4,39M","-0,55%"
"10.09.2020","139,15","136,77","140,54","136,28","7,80M","1,67%"
"09.09.2020","136,86","136,15","137,07","135,05","4,03M","0,23%"
"08.09.2020","136,54","137,15","137,86","134,55","8,02M","-0,17%"
"07.09.2020","136,77","134,09","137,79","133,58","7,26M","1,25%"
"04.09.2020","135,08","136,00","137,08","129,00","9,17M","-1,04%"
"03.09.2020","136,50","137,00","138,50","135,31","12,74M","-0,40%"
"02.09.2020","137,05","138,08","139,19","136,58","11,74M","-0,33%"
"01.09.2020","137,50","138,01","138,89","135,20","11,05M","-0,27%"
"31.08.2020","137,87","140,00","140,69","135,62","16,12M","-1,08%"
"28.08.2020","139,38","141,95","141,95","138,15","7,03M","-1,57%"
"27.08.2020","141,60","143,65","143,90","140,67","6,55M","-1,34%"
"26.08.2020","143,52","144,08","144,35","142,36","6,59M","-0,14%"
"25.08.2020","143,72","145,80","146,40","143,05","7,19M","-1,37%"
"24.08.2020","145,72","147,00","148,80","144,50","9,90M","-0,31%"
"21.08.2020","146,18","146,00","146,90","142,02","12,93M","1,27%"
"20.08.2020","144,35","143,42","145,10","143,09","8,06M","0,01%"
"19.08.2020","144,34","143,63","145,10","142,61","6,18M","0,54%"
"18.08.2020","143,57","143,88","145,23","143,05","6,67M","-0,27%"
"17.08.2020","143,96","144,00","145,95","141,70","12,05M","0,15%"
"14.08.2020","143,75","146,06","146,70","142,66","10,80M","-1,58%"
"13.08.2020","146,06","144,76","147,50","143,76","11,88M","0,97%"
"12.08.2020","144,65","143,15","144,97","142,00","8,03M","1,05%"
"11.08.2020","143,14","140,48","144,90","140,48","12,43M","1,68%"
"10.08.2020","140,77","142,50","143,65","139,52","12,47M","-1,72%"
"07.08.2020","143,24","146,40","146,49","142,56","17,19M","-2,62%"
"06.08.2020","147,10","145,03","148,12","144,20","14,73M","1,20%"
"05.08.2020","145,35","140,98","146,94","140,14","15,25M","3,42%"
"04.08.2020","140,55","139,36","140,79","137,27","16,59M","1,22%"
"03.08.2020","138,86","133,53","139,77","133,53","21,22M","4,21%"
"31.07.2020","133,25","132,00","133,50","131,14","7,29M","1,13%"
"30.07.2020","131,76","133,99","134,20","128,63","7,00M","-1,66%"
"29.07.2020","133,99","131,80","134,01","131,60","5,25M","1,69%"
"28.07.2020","131,76","132,07","133,99","130,96","8,78M","-0,18%"
"27.07.2020","132,00","127,91","132,24","127,50","11,54M","2,96%"
"24.07.2020","128,20","125,65","128,33","125,17","7,87M","2,18%"
"23.07.2020","125,46","126,63","127,15","124,70","5,06M","-0,73%"
"22.07.2020","126,38","124,80","126,63","124,37","5,36M","1,42%"
"21.07.2020","124,61","126,18","127,30","124,30","11,04M","-1,04%"
"20.07.2020","125,92","125,22","126,30","124,27","4,48M","0,44%"
"17.07.2020","125,37","125,00","125,80","124,01","4,24M","0,02%"
"16.07.2020","125,34","124,81","126,70","124,33","9,09M","-0,28%"
"15.07.2020","125,69","125,29","125,83","123,78","10,24M","0,62%"
"14.07.2020","124,92","123,52","124,98","121,32","9,34M","0,71%"
"13.07.2020","124,04","126,80","127,86","121,81","11,81M","-1,91%"
"10.07.2020","126,45","123,66","126,80","123,09","15,15M","1,97%"
"09.07.2020","124,01","122,65","124,95","122,37","11,66M","1,25%"
"08.07.2020","122,48","122,79","123,69","121,70","8,81M","-0,02%"
"07.07.2020","122,51","120,00","123,50","118,59","23,11M","2,96%"
"06.07.2020","118,99","116,85","120,00","116,40","19,54M","2,45%"
"03.07.2020","116,14","116,33","116,40","115,56","3,15M","0,06%"
"02.07.2020","116,07","113,80","116,33","113,48","12,17M","2,49%"
"30.06.2020","113,25","113,77","114,34","112,74","8,16M","-0,13%"
"29.06.2020","113,40","113,01","114,20","112,24","6,82M","-0,02%"
"26.06.2020","113,42","115,06","115,39","111,47","9,95M","-1,26%"
"25.06.2020","114,87","115,00","115,60","113,60","13,34M","-0,46%"
"23.06.2020","115,40","116,42","116,42","115,02","8,02M","-0,52%"
"22.06.2020","116,00","115,95","116,45","114,66","7,62M","0,29%"
