Дата	Цена	Откр.	Макс.	Мин.	Объём	Изм. %
30.09.2020	61,52	60,9	61,71	60,8	557,54K	0,64%
29.09.2020	61,13	61,35	62,42	60,6	1,08M	-0,24%
28.09.2020	61,28	61	61,7	60,21	1,01M	1,02%
25.09.2020	60,66	61,76	61,76	60	1,23M	-0,80%
24.09.2020	61,15	61,87	62,11	61,01	501,97K	-1,16%
23.09.2020	61,87	62,01	62,44	61,8	699,09K	-0,16%
22.09.2020	61,97	61,21	62,45	61,21	616,71K	1,41%
21.09.2020	61,11	63,38	63,38	61,1	1,31M	-2,77%
18.09.2020	62,85	63,71	63,79	62,85	401,14K	-1,18%
17.09.2020	63,6	62,99	64,29	62,69	758,32K	0,78%
16.09.2020	63,11	65,29	65,33	63,07	1,26M	-2,52%
15.09.2020	64,74	63,1	66,3	63,01	4,80M	2,91%
14.09.2020	62,91	62,89	63,64	62,64	907,77K	0,42%
11.09.2020	62,65	61,82	62,77	61,69	528,20K	1,36%
10.09.2020	61,81	62,48	62,63	61,1	817,88K	-0,60%
09.09.2020	62,18	60,92	63,66	60,66	2,52M	1,97%
08.09.2020	60,98	63	63,71	60,6	2,04M	-3,56%
07.09.2020	63,23	63	63,69	63	310,94K	0,00%
04.09.2020	63,23	63,9	64,3	62,95	1,07M	-1,34%
03.09.2020	64,09	64,46	64,68	63,85	433,25K	-0,56%
02.09.2020	64,45	64,61	65,15	64,22	514,19K	-0,74%
01.09.2020	64,93	64,26	64,93	63,77	957,19K	1,29%
31.08.2020	64,1	65,43	65,88	64,1	975,75K	-1,87%
28.08.2020	65,32	65,58	65,87	65,22	529,02K	-0,37%
27.08.2020	65,56	65,88	65,95	65,43	372,72K	-0,09%
26.08.2020	65,62	65,74	65,8	65,23	491,90K	-0,39%
25.08.2020	65,88	66	66,59	65,45	754,82K	0,17%
24.08.2020	65,77	65,43	66,04	65,02	1,13M	1,06%
21.08.2020	65,08	64,92	65,43	63,6	1,48M	1,21%
20.08.2020	64,3	65,88	66,09	64,3	1,45M	-2,40%
19.08.2020	65,88	66,2	67,88	65,2	3,16M	-1,08%
18.08.2020	66,6	66,76	67,1	66	566,14K	-0,40%
17.08.2020	66,87	67,13	67,18	65,88	1,11M	0,51%
14.08.2020	66,53	66,83	67,12	66,21	611,84K	-0,11%
13.08.2020	66,6	66	67,5	65,74	1,88M	1,05%
12.08.2020	65,91	65,94	66,19	65,7	965,44K	-0,24%
11.08.2020	66,07	66,2	66,64	65,71	1,52M	0,21%
10.08.2020	65,93	66,24	66,78	65,8	832,67K	-0,47%
07.08.2020	66,24	68,14	68,76	65,79	1,96M	-2,53%
06.08.2020	67,96	66,35	69,75	66,35	2,83M	2,36%
05.08.2020	66,39	65,55	66,68	65,5	912,64K	1,28%
04.08.2020	65,55	65,68	66,27	65,51	420,52K	-0,15%
03.08.2020	65,65	65,16	66,47	65,16	710,65K	-0,50%
31.07.2020	65,98	65,54	66,46	65	1,14M	0,73%
30.07.2020	65,5	66,76	67	65,5	767,84K	-2,17%
29.07.2020	66,95	66,6	67,25	66,09	578,44K	1,04%
28.07.2020	66,26	67,29	67,82	66,24	625,57K	-0,94%
27.07.2020	66,89	66,08	67,6	65,67	1,07M	1,81%
24.07.2020	65,7	65,52	65,91	65,12	554,15K	-0,45%
23.07.2020	66	66,99	67,2	66	803,26K	-0,75%
22.07.2020	66,5	67,5	67,59	65,95	1,10M	-1,26%
21.07.2020	67,35	64,41	68,34	64,41	2,39M	4,81%
20.07.2020	64,26	62,88	64,95	62,88	1,47M	2,19%
17.07.2020	62,88	63,43	63,43	62,8	577,61K	-0,82%
16.07.2020	63,4	63,15	63,61	62,77	541,20K	0,30%
15.07.2020	63,21	63,54	63,92	63,21	706,83K	-0,36%
14.07.2020	63,44	64,52	64,67	62,6	1,26M	-2,10%
13.07.2020	64,8	65,22	65,55	64,7	738,10K	-0,14%
10.07.2020	64,89	64,51	65,18	64,5	437,45K	0,31%
09.07.2020	64,69	64,95	65,61	64,53	574,39K	-0,17%
08.07.2020	64,8	65,29	65,87	64,8	692,99K	-1,10%
07.07.2020	65,52	66,3	89,25	53,94	1,49M	-1,27%
06.07.2020	66,36	66,4	67	66,19	1,26M	0,59%
03.07.2020	65,97	66,5	66,7	65,34	1,30M	-0,54%
02.07.2020	66,33	65,58	66,7	65,27	810,67K	1,80%
30.06.2020	65,16	65,37	66,39	65,13	791,69K	-0,55%
29.06.2020	65,52	65,3	65,77	63,96	1,17M	-0,15%
26.06.2020	65,62	66,66	66,77	65,07	675,34K	-0,50%
25.06.2020	65,95	66,34	66,85	65,69	945,09K	-1,83%
23.06.2020	67,18	67,67	68,26	66,87	982,71K	-0,47%
22.06.2020	67,5	67,19	67,5	66,2	1,06M	0,78%
19.06.2020	66,98	67,52	68	66,98	918,00K	-0,59%
18.06.2020	67,38	68,62	68,62	66,66	822,85K	-1,09%
17.06.2020	68,12	67,5	69,1	67,21	1,97M	1,34%
16.06.2020	67,22	67,58	68,8	66,66	2,15M	-0,12%
15.06.2020	67,3	65,21	69,46	64,64	3,73M	1,52%
11.06.2020	66,29	67,2	67,38	65	2,12M	-1,91%
10.06.2020	67,58	68,5	69,11	67,26	1,56M	-0,79%
09.06.2020	68,12	68,83	69,26	67,08	2,31M	-1,43%
08.06.2020	69,11	70,99	71,5	68,22	3,58M	-2,17%
05.06.2020	70,64	71,48	73,39	68,68	6,95M	-3,21%
04.06.2020	72,98	72,6	74,34	67,53	17,81M	5,54%
03.06.2020	69,15	67	69,55	66,63	4,11M	4,46%
02.06.2020	66,2	65,92	66,99	65,43	2,10M	0,72%
01.06.2020	65,73	64,99	65,77	64,81	1,54M	1,67%
29.05.2020	64,65	65,9	66,36	64,57	1,65M	-1,34%
28.05.2020	65,53	65,42	66,37	65,03	2,31M	1,10%
27.05.2020	64,82	64,23	65,1	64,1	1,77M	1,00%
26.05.2020	64,18	64,97	65,35	63,61	2,86M	-0,50%
25.05.2020	64,5	64,62	65,43	64,3	1,04M	-0,17%
22.05.2020	64,61	64,19	64,68	63,53	1,34M	0,47%
21.05.2020	64,31	64,5	66,3	64,2	3,07M	-0,28%
20.05.2020	64,49	63,82	64,75	63,03	2,32M	1,05%
19.05.2020	63,82	63,15	63,85	62,92	1,40M	1,16%
18.05.2020	63,09	61,85	63,82	61,68	2,36M	3,05%
15.05.2020	61,22	61,4	62,93	61,06	2,04M	0,56%
14.05.2020	60,88	61,25	61,61	60,1	2,30M	-1,41%
13.05.2020	61,75	63	63,24	61,75	2,54M	-2,53%
12.05.2020	63,35	63,18	63,92	61,51	2,85M	0,27%
08.05.2020	63,18	63,62	64,05	62,63	1,83M	-0,44%
07.05.2020	63,46	63,77	64,17	62,67	2,12M	-0,53%
06.05.2020	63,8	64,24	64,98	63,6	1,64M	-0,84%
05.05.2020	64,34	65,07	65,33	63,95	1,90M	0,53%
04.05.2020	64	64,75	65,47	63,42	4,35M	-2,54%
30.04.2020	65,67	67,5	68,67	65,06	6,22M	-1,84%
29.04.2020	66,9	67,23	67,93	66,57	2,61M	-0,49%
28.04.2020	67,23	67,15	68,33	66,5	2,86M	-0,22%
27.04.2020	67,38	68,4	69,46	67	3,13M	-0,91%
24.04.2020	68	69,25	71,99	67,4	9,38M	-1,18%
23.04.2020	68,81	66,22	70,9	65,82	17,54M	5,75%
22.04.2020	65,07	65,75	77,82	63,8	29,06M	-0,43%
21.04.2020	65,35	65,48	66,05	64,05	2,32M	-0,71%
20.04.2020	65,82	66,57	67,82	65,81	2,36M	-1,44%
17.04.2020	66,78	65,9	66,78	65,21	1,45M	2,55%
16.04.2020	65,12	64,33	66,25	62,96	2,99M	0,23%
15.04.2020	64,97	65,31	65,31	62,15	3,30M	-0,63%
14.04.2020	65,38	67,1	67,5	65,29	1,55M	-1,70%
13.04.2020	66,51	67,6	68,37	66	3,01M	-1,20%
10.04.2020	67,32	66,37	67,73	65,5	1,65M	-0,07%
09.04.2020	67,37	67,06	68,56	66,17	4,63M	1,68%
08.04.2020	66,26	64,99	66,87	64	4,40M	1,50%
07.04.2020	65,28	64	68,3	63,72	10,56M	3,50%
06.04.2020	63,07	62,8	64,15	61,8	4,52M	1,89%
03.04.2020	61,9	60,57	63,44	59,95	5,67M	2,86%
02.04.2020	60,18	61,3	61,94	58,52	5,70M	0,70%
01.04.2020	59,76	59,8	61,78	58,98	3,32M	-1,69%
31.03.2020	60,79	59,29	62,85	59,29	6,78M	2,53%
30.03.2020	59,29	57,87	59,5	56,26	4,12M	1,70%
27.03.2020	58,3	62,29	62,3	57,61	5,66M	-7,46%
26.03.2020	63	61,2	63,41	58,9	8,19M	5,76%
25.03.2020	59,57	61,19	67,19	57,3	14,67M	-1,24%
24.03.2020	60,32	58,5	61,24	57,72	7,17M	6,38%
23.03.2020	56,7	56,44	59,35	55,34	6,64M	-1,39%
20.03.2020	57,5	55,89	58,9	55,11	6,18M	5,41%
19.03.2020	54,55	56,79	60,8	53,33	10,03M	-3,81%
18.03.2020	56,71	58,2	59,14	54	6,34M	-4,85%
17.03.2020	59,6	60,97	65,49	57,86	7,34M	-1,08%
16.03.2020	60,25	59,5	61,41	56,2	6,23M	-2,35%
13.03.2020	61,7	56,7	67,43	56,69	16,50M	9,01%
12.03.2020	56,6	68,1	68,5	56,45	13,20M	-21,06%
11.03.2020	71,7	78,67	79,32	70,13	4,75M	-6,87%
10.03.2020	76,99	78,77	83,95	69	6,17M	-12,03%
06.03.2020	87,52	101	101,5	86,2	9,84M	-5,28%
05.03.2020	92,4	94,13	96,6	91,2	8,59M	-1,07%
04.03.2020	93,4	90,2	94,37	89,01	3,54M	2,76%
03.03.2020	90,89	90,17	92,21	88,2	3,93M	5,42%
02.03.2020	86,22	88,26	92,5	84	5,59M	0,61%
28.02.2020	85,7	89	92,3	60,5	12,34M	-8,18%
27.02.2020	93,33	99,64	100,29	93	5,58M	-8,02%
26.02.2020	101,47	100	101,79	90,5	7,60M	0,67%
25.02.2020	100,79	101,49	103,3	100,1	1,72M	-2,21%
21.02.2020	103,07	103,2	103,68	102,8	651,40K	-0,66%
20.02.2020	103,76	103,03	104	103,03	397,18K	0,34%
19.02.2020	103,41	103,43	103,9	101,62	800,89K	0,24%
18.02.2020	103,16	104,4	105,26	102	1,87M	-0,96%
17.02.2020	104,16	103,43	104,9	103,09	1,93M	1,25%
14.02.2020	102,87	102,59	105,53	101,93	3,35M	0,75%
13.02.2020	102,1	102,11	103,26	101,2	1,43M	0,20%
12.02.2020	101,9	100,63	104,77	100,08	4,41M	1,36%
11.02.2020	100,53	99,5	100,69	99,42	1,23M	0,70%
10.02.2020	99,83	100,6	101	99	1,49M	-0,22%
