"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","679,10","665,90","686,60","657,60","521,04K","3,43%"
"29.09.2020","656,60","660,00","688,60","653,90","870,39K","0,47%"
"28.09.2020","653,50","628,00","662,20","628,00","537,48K","3,93%"
"25.09.2020","628,80","634,90","647,00","624,70","448,48K","-1,13%"
"24.09.2020","636,00","600,00","638,80","600,00","447,22K","5,35%"
"23.09.2020","603,70","609,30","613,60","591,00","290,51K","0,07%"
"22.09.2020","603,30","589,50","626,00","587,60","510,17K","2,22%"
"21.09.2020","590,20","579,70","659,80","575,10","691,83K","2,47%"
"18.09.2020","576,00","584,50","591,00","576,00","192,93K","-1,27%"
"17.09.2020","583,40","577,20","587,40","574,70","186,99K","0,45%"
"16.09.2020","580,80","586,00","586,00","573,60","162,82K","-0,22%"
"15.09.2020","582,10","587,00","587,70","577,50","243,07K","-0,22%"
"14.09.2020","583,40","584,80","587,80","576,60","98,97K","0,07%"
"11.09.2020","583,00","588,50","591,70","579,10","73,21K","-0,58%"
"10.09.2020","586,40","592,00","592,00","573,60","208,21K","0,00%"
"09.09.2020","586,40","567,40","591,10","559,30","419,49K","3,33%"
"08.09.2020","567,50","568,80","569,00","548,00","315,32K","-0,18%"
"07.09.2020","568,50","573,10","576,90","556,00","180,75K","1,01%"
"04.09.2020","562,80","572,50","572,70","556,00","272,40K","-2,63%"
"03.09.2020","578,00","579,10","584,40","567,00","299,58K","-0,17%"
"02.09.2020","579,00","577,80","584,90","572,10","378,82K","1,14%"
"01.09.2020","572,50","567,80","578,30","562,70","296,15K","1,74%"
"31.08.2020","562,70","565,00","584,50","559,40","325,01K","1,02%"
"28.08.2020","557,00","575,00","576,70","550,90","264,13K","-2,79%"
"27.08.2020","573,00","594,00","594,00","565,40","374,96K","-1,97%"
"26.08.2020","584,50","576,90","598,90","553,00","1,38M","2,04%"
"25.08.2020","572,80","537,40","579,60","532,10","1,47M","6,59%"
"24.08.2020","537,40","503,00","537,40","503,00","735,25K","6,92%"
"21.08.2020","502,60","486,30","502,80","486,30","372,77K","3,44%"
"20.08.2020","485,90","485,00","491,30","475,70","259,75K","0,19%"
"19.08.2020","485,00","484,90","490,00","481,00","297,07K","0,77%"
"18.08.2020","481,30","466,50","482,60","464,40","199,94K","3,31%"
"17.08.2020","465,90","467,90","474,80","462,60","113,86K","-0,32%"
"14.08.2020","467,40","471,90","481,10","460,10","253,82K","-0,79%"
"13.08.2020","471,10","470,00","474,20","467,50","90,61K","0,88%"
"12.08.2020","467,00","469,70","476,00","466,50","126,27K","-0,47%"
"11.08.2020","469,20","463,00","474,50","462,00","181,97K","1,56%"
"10.08.2020","462,00","469,00","479,10","461,00","172,81K","-0,82%"
"07.08.2020","465,80","467,80","477,00","461,10","151,35K","-0,28%"
"06.08.2020","467,10","481,00","492,30","458,10","425,86K","-2,89%"
"05.08.2020","481,00","478,30","494,00","470,50","605,61K","0,90%"
"04.08.2020","476,70","446,50","480,30","445,90","875,88K","6,88%"
"03.08.2020","446,00","431,30","447,40","431,30","327,35K","3,41%"
"31.07.2020","431,30","430,10","454,00","430,10","295,79K","-0,39%"
"30.07.2020","433,00","437,70","438,80","425,40","291,31K","-0,51%"
"29.07.2020","435,20","436,90","444,30","433,30","229,27K","0,69%"
"28.07.2020","432,20","446,40","452,00","431,00","339,64K","-2,55%"
"27.07.2020","443,50","446,40","451,50","435,00","374,27K","-0,61%"
"24.07.2020","446,20","451,00","452,20","438,20","384,70K","-0,84%"
"23.07.2020","450,00","435,00","453,80","430,00","760,80K","5,02%"
"22.07.2020","428,50","417,70","430,00","416,50","512,19K","3,25%"
"21.07.2020","415,00","402,20","429,00","402,20","644,36K","2,80%"
"20.07.2020","403,70","399,00","404,90","397,40","92,02K","1,18%"
"17.07.2020","399,00","393,70","403,00","393,70","71,23K","1,50%"
"16.07.2020","393,10","395,00","399,10","392,40","45,42K","-0,48%"
"15.07.2020","395,00","395,20","399,20","391,90","79,68K","1,02%"
"14.07.2020","391,00","402,10","402,10","387,00","164,36K","-2,83%"
"13.07.2020","402,40","401,70","404,90","399,60","93,72K","0,17%"
"10.07.2020","401,70","400,00","402,50","397,30","80,79K","0,40%"
"09.07.2020","400,10","401,00","404,20","400,10","80,22K","-0,22%"
"08.07.2020","401,00","403,50","405,00","401,00","62,57K","-0,74%"
"07.07.2020","404,00","402,10","404,80","395,00","91,16K","0,00%"
"06.07.2020","404,00","408,00","409,80","404,00","105,58K","-0,10%"
"03.07.2020","404,40","403,60","406,90","403,00","91,21K","0,02%"
"02.07.2020","404,30","407,00","409,50","404,00","129,68K","-0,59%"
"30.06.2020","406,70","404,80","413,80","402,00","257,49K","0,49%"
"29.06.2020","404,70","407,00","407,10","398,20","206,71K","-0,76%"
"26.06.2020","407,80","400,00","409,00","400,00","226,50K","1,95%"
"25.06.2020","400,00","400,00","404,70","395,30","219,46K","-0,27%"
"23.06.2020","401,10","405,40","411,90","401,10","192,36K","-1,26%"
"22.06.2020","406,20","391,90","409,00","391,90","415,31K","4,77%"
"19.06.2020","387,70","405,50","410,30","387,70","530,45K","-4,32%"
"18.06.2020","405,20","410,00","410,00","402,20","142,25K","-0,44%"
"17.06.2020","407,00","414,00","414,50","407,00","117,58K","-0,85%"
"16.06.2020","410,50","412,50","419,60","405,20","259,58K","0,74%"
"15.06.2020","407,50","404,40","410,60","398,00","205,39K","-1,24%"
"11.06.2020","412,60","410,00","419,40","404,00","588,88K","-0,58%"
"10.06.2020","415,00","421,80","423,80","408,10","327,67K","-0,95%"
"09.06.2020","419,00","424,80","426,50","400,30","526,98K","0,24%"
"08.06.2020","418,00","411,80","429,90","407,70","835,74K","2,45%"
"05.06.2020","408,00","393,90","409,40","386,30","641,86K","5,67%"
"04.06.2020","386,10","397,90","397,90","378,20","468,92K","-2,10%"
"03.06.2020","394,40","398,00","412,00","382,50","1,59M","-0,15%"
"02.06.2020","395,00","353,80","396,50","352,20","1,61M","12,25%"
"01.06.2020","351,90","346,00","352,90","346,00","390,40K","3,50%"
"29.05.2020","340,00","350,00","354,80","340,00","1,30M","-2,44%"
"28.05.2020","348,50","351,30","352,00","346,00","752,65K","0,03%"
"27.05.2020","348,40","349,50","355,00","345,60","288,63K","-0,74%"
