"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","88,35","88,90","89,90","87,50","37,45K","-0,95%"
"29.09.2020","89,20","89,50","89,95","89,00","33,61K","0,34%"
"28.09.2020","88,90","90,05","90,45","85,80","38,63K","-0,78%"
"25.09.2020","89,60","90,10","90,20","89,45","21,24K","-0,44%"
"24.09.2020","90,00","90,00","90,15","89,80","26,52K","-0,33%"
"23.09.2020","90,30","91,00","91,00","89,80","33,59K","0,06%"
"22.09.2020","90,25","90,55","91,40","89,70","26,40K","0,33%"
"21.09.2020","89,95","91,60","91,95","89,70","30,27K","-1,69%"
"18.09.2020","91,50","91,75","91,75","91,30","12,33K","-0,27%"
"17.09.2020","91,75","91,25","92,15","91,00","27,64K","0,27%"
"16.09.2020","91,50","92,05","92,25","91,20","29,83K","-0,27%"
"15.09.2020","91,75","91,30","92,30","91,05","17,43K","0,16%"
"14.09.2020","91,60","92,00","92,35","90,00","30,94K","1,27%"
"11.09.2020","90,45","90,50","92,75","90,25","28,15K","0,22%"
"10.09.2020","90,25","90,15","90,55","89,70","13,09K","0,45%"
"09.09.2020","89,85","90,00","90,15","89,70","19,23K","-0,33%"
"08.09.2020","90,15","90,40","90,95","90,00","23,94K","-0,28%"
"07.09.2020","90,40","91,00","91,00","90,30","14,20K","-0,33%"
"04.09.2020","90,70","90,80","90,80","90,00","16,60K","-0,17%"
"03.09.2020","90,85","93,00","93,00","90,50","25,86K","-0,33%"
"02.09.2020","91,15","91,10","92,20","91,00","26,88K","0,16%"
"01.09.2020","91,00","91,85","91,85","90,60","23,05K","-0,60%"
"31.08.2020","91,55","92,45","92,45","91,50","29,01K","-0,22%"
"28.08.2020","91,75","92,00","92,50","91,25","34,12K","-0,76%"
"27.08.2020","92,45","92,00","92,75","92,00","19,13K","0,16%"
"26.08.2020","92,30","92,60","92,90","91,80","41,21K","-0,43%"
"25.08.2020","92,70","93,40","94,00","91,55","44,99K","-0,43%"
"24.08.2020","93,10","93,10","93,55","93,00","15,09K","0,00%"
"21.08.2020","93,10","94,00","94,25","92,80","35,72K","-0,16%"
"20.08.2020","93,25","94,05","94,05","92,60","47,76K","-0,75%"
"19.08.2020","93,95","94,10","94,30","93,35","23,87K","0,00%"
"18.08.2020","93,95","94,60","94,60","93,60","30,45K","0,16%"
"17.08.2020","93,80","94,40","94,90","93,80","56,83K","-0,64%"
"14.08.2020","94,40","94,50","94,50","93,65","31,00K","-0,11%"
"13.08.2020","94,50","94,40","94,95","93,70","79,01K","0,53%"
"12.08.2020","94,00","93,40","94,50","93,05","58,29K","0,05%"
"11.08.2020","93,95","94,00","94,40","93,00","50,19K","0,27%"
"10.08.2020","93,70","93,40","95,10","92,95","67,98K","0,75%"
"07.08.2020","93,00","93,80","93,80","93,00","44,09K","-0,37%"
"06.08.2020","93,35","93,95","93,95","92,60","53,74K","-0,21%"
"05.08.2020","93,55","93,25","93,80","92,85","52,49K","0,05%"
"04.08.2020","93,50","93,50","93,80","92,50","36,97K","-0,05%"
"03.08.2020","93,55","93,50","93,70","92,45","32,36K","0,59%"
"31.07.2020","93,00","92,75","93,20","92,55","29,78K","0,59%"
"30.07.2020","92,45","92,95","93,15","92,00","35,96K","-0,48%"
"29.07.2020","92,90","92,20","93,00","92,00","57,32K","0,54%"
"28.07.2020","92,40","92,65","92,80","92,20","30,80K","-0,22%"
"27.07.2020","92,60","93,00","93,75","92,20","104,24K","-1,02%"
"24.07.2020","93,55","93,70","94,00","92,50","23,89K","0,21%"
"23.07.2020","93,35","93,95","94,20","93,35","52,42K","-0,32%"
"22.07.2020","93,65","94,65","95,00","93,35","42,79K","-0,79%"
"21.07.2020","94,40","94,00","94,80","94,00","40,65K","-0,26%"
"20.07.2020","94,65","94,85","94,85","93,20","24,68K","0,75%"
"17.07.2020","93,95","93,60","94,25","93,00","29,52K","0,00%"
"16.07.2020","93,95","94,10","95,30","92,40","25,52K","-0,74%"
"15.07.2020","94,65","93,10","95,00","92,30","46,03K","2,32%"
"14.07.2020","92,50","95,30","95,30","91,40","62,78K","-1,70%"
"13.07.2020","94,10","94,35","96,15","93,70","65,67K","-0,26%"
"10.07.2020","94,35","95,20","95,20","92,70","74,30K","-0,37%"
"09.07.2020","94,70","95,30","96,45","93,00","466,69K","-7,70%"
"08.07.2020","102,60","101,00","102,70","100,20","378,57K","0,88%"
"07.07.2020","101,70","102,50","102,55","101,20","166,99K","-1,02%"
"06.07.2020","102,75","103,00","103,10","101,00","265,65K","2,70%"
"03.07.2020","100,05","100,00","100,95","99,90","137,12K","0,20%"
"02.07.2020","99,85","100,30","100,30","97,20","145,70K","0,86%"
"30.06.2020","99,00","99,40","99,40","98,50","87,05K","-0,10%"
