"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","171,70","174,54","175,98","171,54","5,03M","-1,68%"
"29.09.2020","174,64","171,60","174,76","171,06","5,29M","1,62%"
"28.09.2020","171,86","168,70","172,00","168,36","5,75M","1,95%"
"25.09.2020","168,58","167,96","169,00","166,54","3,36M","0,63%"
"24.09.2020","167,52","165,52","168,28","163,26","6,08M","1,47%"
"23.09.2020","165,10","167,00","168,86","165,00","6,96M","-0,97%"
"22.09.2020","166,72","165,62","168,10","165,40","4,99M","0,18%"
"21.09.2020","166,42","166,04","167,48","164,72","3,94M","-0,16%"
"18.09.2020","166,68","168,50","168,72","165,42","6,42M","-0,96%"
"17.09.2020","168,30","166,72","168,96","166,10","4,98M","0,66%"
"16.09.2020","167,20","167,50","169,08","165,64","6,59M","-1,05%"
"15.09.2020","168,98","167,40","169,44","165,96","5,75M","1,43%"
"14.09.2020","166,60","164,00","167,10","162,84","6,43M","2,22%"
"11.09.2020","162,98","160,30","164,66","159,02","6,34M","1,58%"
"10.09.2020","160,44","159,34","161,96","156,88","9,76M","0,36%"
"09.09.2020","159,86","158,52","160,56","158,10","7,42M","0,55%"
"08.09.2020","158,98","160,02","161,00","158,52","6,40M","-0,76%"
"07.09.2020","160,20","161,80","162,48","159,44","3,78M","-1,42%"
"04.09.2020","162,50","161,50","162,94","160,22","4,47M","0,36%"
"03.09.2020","161,92","161,26","163,74","161,06","6,57M","0,01%"
"02.09.2020","161,90","161,22","163,38","160,48","10,43M","0,38%"
"01.09.2020","161,28","155,50","161,76","152,40","9,15M","4,40%"
"31.08.2020","154,48","156,40","157,64","154,08","8,71M","-1,04%"
"28.08.2020","156,10","159,66","159,66","155,38","6,00M","-1,71%"
"27.08.2020","158,82","159,84","160,94","157,54","6,37M","-0,61%"
"26.08.2020","159,80","160,74","161,30","158,82","4,47M","-0,51%"
"25.08.2020","160,62","160,22","160,94","159,28","4,38M","0,27%"
"24.08.2020","160,18","160,04","161,98","159,32","3,79M","0,16%"
"21.08.2020","159,92","161,18","161,34","158,08","4,33M","-0,65%"
"20.08.2020","160,96","159,86","161,86","159,08","4,11M","0,40%"
"19.08.2020","160,32","160,12","162,18","159,34","4,36M","0,40%"
"18.08.2020","159,68","159,98","161,78","158,76","6,06M","-0,01%"
"17.08.2020","159,70","161,34","161,86","157,72","6,12M","-0,49%"
"14.08.2020","160,48","160,26","160,48","158,92","4,80M","0,45%"
"13.08.2020","159,76","163,24","166,98","159,28","7,67M","-1,98%"
"12.08.2020","162,98","157,52","163,04","157,26","7,57M","3,19%"
"11.08.2020","157,94","154,60","159,84","153,84","8,74M","2,29%"
"10.08.2020","154,40","149,22","154,74","149,22","8,52M","3,28%"
"07.08.2020","149,50","149,22","149,82","146,52","5,09M","0,23%"
"06.08.2020","149,16","148,70","150,50","147,72","7,02M","0,31%"
"05.08.2020","148,70","149,54","149,68","148,08","7,06M","-0,27%"
"04.08.2020","149,10","145,00","149,62","144,52","9,94M","3,06%"
"03.08.2020","144,68","145,52","146,80","144,52","3,50M","-0,71%"
"31.07.2020","145,72","145,88","146,00","142,58","5,84M","0,30%"
"30.07.2020","145,28","147,16","147,36","142,78","7,32M","-1,20%"
"29.07.2020","147,04","146,52","147,84","144,50","5,40M","0,12%"
"28.07.2020","146,86","145,88","149,20","145,38","6,69M","0,80%"
"27.07.2020","145,70","144,46","145,98","143,46","6,03M","1,29%"
"24.07.2020","143,84","141,00","144,50","140,22","6,15M","1,54%"
"23.07.2020","141,66","141,54","143,90","140,84","4,54M","0,34%"
"22.07.2020","141,18","139,96","142,08","139,18","5,07M","1,13%"
"21.07.2020","139,60","138,50","141,28","138,20","3,72M","0,81%"
"20.07.2020","138,48","137,06","139,26","136,68","2,27M","0,54%"
"17.07.2020","137,74","138,30","138,92","136,94","1,69M","-0,40%"
"16.07.2020","138,30","137,86","138,96","136,60","2,13M","-0,30%"
"15.07.2020","138,72","137,16","139,26","136,68","3,52M","1,18%"
"14.07.2020","137,10","135,50","137,90","133,40","4,77M","1,08%"
"13.07.2020","135,64","135,68","138,20","135,00","3,13M","0,00%"
"10.07.2020","135,64","136,72","136,86","134,36","5,81M","-3,27%"
"09.07.2020","140,22","142,44","142,82","138,92","5,68M","-1,79%"
"08.07.2020","142,78","142,94","143,46","141,78","2,87M","-0,36%"
"07.07.2020","143,30","144,94","144,94","143,02","4,34M","-0,47%"
"06.07.2020","143,98","144,04","144,98","143,32","3,33M","0,54%"
"03.07.2020","143,20","141,28","143,82","140,62","4,02M","1,49%"
"02.07.2020","141,10","141,10","141,40","140,10","3,01M","0,16%"
"30.06.2020","140,88","139,44","141,46","138,86","5,72M","1,34%"
"29.06.2020","139,02","136,90","139,32","136,86","3,09M","1,27%"
"26.06.2020","137,28","138,40","138,96","136,78","2,46M","-0,77%"
"25.06.2020","138,34","138,06","138,38","136,50","4,51M","-0,40%"
"23.06.2020","138,90","138,40","140,14","138,02","3,65M","0,42%"
"22.06.2020","138,32","138,60","138,86","136,34","4,57M","-0,39%"
"19.06.2020","138,86","138,42","139,60","138,02","7,76M","0,75%"
"18.06.2020","137,82","136,60","139,00","136,16","9,26M","0,39%"
"17.06.2020","137,28","134,66","137,72","134,16","8,37M","2,94%"
"16.06.2020","133,36","132,36","134,90","132,36","7,94M","1,41%"
"15.06.2020","131,50","134,22","134,50","130,92","7,93M","-3,02%"
"11.06.2020","135,60","137,30","137,46","134,82","3,77M","-2,21%"
"10.06.2020","138,66","137,00","139,30","136,12","5,57M","1,21%"
"09.06.2020","137,00","138,02","138,78","135,92","6,29M","-0,42%"
"08.06.2020","137,58","139,88","140,00","137,10","6,72M","-3,11%"
"05.06.2020","142,00","138,88","144,16","138,22","8,86M","2,26%"
"04.06.2020","138,86","140,38","140,88","136,72","10,96M","-0,73%"
"03.06.2020","139,88","138,48","140,74","137,68","6,40M","1,24%"
"02.06.2020","138,16","137,40","138,24","136,36","5,62M","0,32%"
"01.06.2020","137,72","138,30","139,00","136,80","4,50M","-0,03%"
"29.05.2020","137,76","139,16","139,16","134,72","16,49M","-0,75%"
"28.05.2020","138,80","137,96","139,26","135,94","7,79M","2,28%"
"27.05.2020","135,70","134,02","138,26","134,02","9,71M","1,27%"
"26.05.2020","134,00","132,90","136,44","132,20","13,40M","1,36%"
"25.05.2020","132,20","128,50","132,48","128,44","5,99M","3,06%"
"22.05.2020","128,28","125,02","128,36","124,32","7,15M","2,05%"
"21.05.2020","125,70","128,02","129,28","125,06","5,39M","-1,87%"
"20.05.2020","128,10","125,02","128,60","124,40","8,55M","2,46%"
"19.05.2020","125,02","124,04","126,26","123,20","8,99M","0,30%"
"18.05.2020","124,64","119,98","124,64","119,50","8,60M","5,27%"
"15.05.2020","118,40","118,32","120,22","117,52","5,23M","0,95%"
"14.05.2020","117,28","118,10","118,92","116,02","7,33M","-0,81%"
"13.05.2020","118,24","122,02","122,12","118,24","5,56M","-3,16%"
"12.05.2020","122,10","124,30","124,48","122,10","7,64M","-2,32%"
"08.05.2020","125,00","125,22","125,58","123,92","3,77M","0,08%"
"07.05.2020","124,90","124,50","126,58","124,12","5,00M","0,68%"
"06.05.2020","124,06","125,80","126,10","124,06","4,44M","-0,82%"
"05.05.2020","125,08","125,98","126,40","124,70","3,25M","0,22%"
"04.05.2020","124,80","127,68","127,68","123,90","5,36M","-2,76%"
"30.04.2020","128,34","127,64","128,40","125,94","6,84M","0,98%"
"29.04.2020","127,10","126,02","128,30","125,08","5,29M","1,19%"
"28.04.2020","125,60","123,00","126,46","122,40","8,69M","1,98%"
"27.04.2020","123,16","124,72","125,88","123,16","6,45M","-1,35%"
"24.04.2020","124,84","127,58","127,58","124,40","9,87M","-2,06%"
"23.04.2020","127,46","126,30","128,34","125,40","6,06M","1,56%"
"22.04.2020","125,50","124,44","127,48","124,44","8,74M","0,50%"
"21.04.2020","124,88","126,00","126,36","124,30","10,86M","-2,05%"
"20.04.2020","127,50","125,58","128,36","125,56","6,81M","1,11%"
"17.04.2020","126,10","127,30","127,98","125,52","5,66M","0,48%"
"16.04.2020","125,50","125,66","127,48","124,58","7,91M","0,14%"
"15.04.2020","125,32","128,04","128,90","124,20","6,70M","-2,88%"
"14.04.2020","129,04","130,72","131,96","129,00","6,83M","-0,68%"
"13.04.2020","129,92","132,50","132,58","128,70","3,37M","-1,26%"
"10.04.2020","131,58","132,02","132,08","131,00","1,89M","-1,41%"
"09.04.2020","133,46","133,72","134,60","130,40","7,47M","0,35%"
"08.04.2020","133,00","131,12","133,00","129,14","8,25M","0,57%"
"07.04.2020","132,24","132,14","132,78","131,12","8,08M","1,72%"
"06.04.2020","130,00","126,04","131,40","124,62","8,14M","4,13%"
"03.04.2020","124,84","122,40","124,98","121,12","9,40M","1,74%"
"02.04.2020","122,70","124,64","125,92","118,74","12,14M","-0,08%"
"01.04.2020","122,80","122,00","124,18","121,28","7,56M","-0,97%"
"31.03.2020","124,00","120,78","125,30","119,98","9,47M","4,39%"
"30.03.2020","118,78","114,00","118,78","113,40","5,90M","2,04%"
"27.03.2020","116,40","120,02","120,38","115,12","6,28M","-2,81%"
"26.03.2020","119,76","121,96","122,44","118,56","10,14M","-1,93%"
"25.03.2020","122,12","118,00","125,48","117,70","18,72M","5,20%"
"24.03.2020","116,08","111,00","117,34","111,00","14,17M","7,12%"
"23.03.2020","108,36","108,56","110,88","106,50","9,08M","-2,87%"
"20.03.2020","111,56","110,90","113,48","109,44","16,37M","2,90%"
"19.03.2020","108,42","102,00","110,86","100,00","19,55M","7,24%"
"18.03.2020","101,10","106,68","107,98","101,10","10,35M","-6,22%"
"17.03.2020","107,80","109,28","113,00","104,00","11,10M","-0,88%"
"16.03.2020","108,76","111,00","112,00","105,50","12,71M","-0,71%"
"13.03.2020","109,54","111,20","116,88","109,54","13,06M","-1,44%"
"12.03.2020","111,14","116,00","117,50","109,80","14,73M","-7,92%"
"11.03.2020","120,70","119,90","122,94","117,02","16,94M","2,25%"
"10.03.2020","118,04","107,60","123,94","100,82","18,42M","-1,27%"
"06.03.2020","119,56","123,00","123,44","117,60","12,19M","-3,88%"
"05.03.2020","124,38","124,44","124,84","121,74","8,79M","0,99%"
"04.03.2020","123,16","121,42","123,90","120,28","8,03M","0,65%"
"03.03.2020","122,36","123,50","124,48","121,12","9,96M","0,15%"
"02.03.2020","122,18","130,00","130,00","119,14","16,70M","-2,21%"
"28.02.2020","124,94","127,00","130,76","123,16","20,89M","-4,92%"
"27.02.2020","131,40","136,00","136,40","131,40","8,00M","-3,91%"
"26.02.2020","136,74","137,82","137,98","134,50","9,92M","-0,71%"
