"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","2.864,0","2.862,0","2.885,0","2.845,0","66,87K","-0,07%"
"29.09.2020","2.866,0","2.795,0","2.868,0","2.795,0","82,27K","1,74%"
"28.09.2020","2.817,0","2.746,0","2.829,0","2.745,0","64,16K","2,59%"
"25.09.2020","2.746,0","2.746,0","2.749,0","2.716,0","21,31K","0,59%"
"24.09.2020","2.730,0","2.696,0","2.748,0","2.689,0","42,28K","1,04%"
"23.09.2020","2.702,0","2.698,0","2.745,0","2.679,0","101,54K","0,67%"
"22.09.2020","2.684,0","2.719,0","2.725,0","2.671,0","85,28K","-1,32%"
"21.09.2020","2.720,0","2.769,0","2.770,0","2.706,0","80,19K","-1,45%"
"18.09.2020","2.760,0","2.735,0","2.788,0","2.715,0","131,60K","1,17%"
"17.09.2020","2.728,0","2.718,0","2.742,0","2.704,0","72,09K","0,04%"
"16.09.2020","2.727,0","2.745,0","2.753,0","2.720,0","78,96K","-1,55%"
"15.09.2020","2.770,0","2.751,0","2.773,0","2.734,0","109,01K","0,87%"
"14.09.2020","2.746,0","2.760,0","2.762,0","2.731,0","28,79K","0,37%"
"11.09.2020","2.736,0","2.760,0","2.760,0","2.716,0","52,02K","-0,18%"
"10.09.2020","2.741,0","2.756,0","2.773,0","2.725,0","38,55K","-0,58%"
"09.09.2020","2.757,0","2.759,0","2.792,0","2.741,0","62,19K","-0,11%"
"08.09.2020","2.760,0","2.805,0","2.805,0","2.730,0","61,18K","-1,39%"
"07.09.2020","2.799,0","2.765,0","2.815,0","2.671,0","56,63K","0,72%"
"04.09.2020","2.779,0","2.749,0","2.780,0","2.735,0","58,30K","1,09%"
"03.09.2020","2.749,0","2.755,0","2.765,0","2.724,0","39,34K","-0,04%"
"02.09.2020","2.750,0","2.741,0","2.768,0","2.701,0","73,67K","0,59%"
"01.09.2020","2.734,0","2.791,0","2.793,0","2.713,0","92,93K","-1,12%"
"31.08.2020","2.765,0","2.731,0","2.807,0","2.719,0","214,12K","1,73%"
"28.08.2020","2.718,0","2.770,0","2.770,0","2.701,0","114,57K","-1,56%"
"27.08.2020","2.761,0","2.813,0","2.813,0","2.745,0","99,15K","-1,29%"
"26.08.2020","2.797,0","2.766,0","2.802,0","2.765,0","59,27K","1,01%"
"25.08.2020","2.769,0","2.757,0","2.784,0","2.743,0","46,36K","-0,25%"
"24.08.2020","2.776,0","2.788,0","2.800,0","2.752,0","48,37K","0,00%"
"21.08.2020","2.776,0","2.793,0","2.815,0","2.752,0","52,19K","-0,75%"
"20.08.2020","2.797,0","2.813,0","2.824,0","2.781,0","35,99K","-0,29%"
"19.08.2020","2.805,0","2.811,0","2.839,0","2.788,0","71,09K","0,47%"
"18.08.2020","2.792,0","2.810,0","2.820,0","2.786,0","94,94K","-0,57%"
"17.08.2020","2.808,0","2.823,0","2.824,0","2.765,0","122,80K","0,21%"
"14.08.2020","2.802,0","2.816,0","2.819,0","2.770,0","42,72K","0,00%"
"13.08.2020","2.802,0","2.758,0","2.825,0","2.741,0","110,08K","1,89%"
"12.08.2020","2.750,0","2.734,0","2.767,0","2.711,0","149,96K","1,66%"
"11.08.2020","2.705,0","2.700,0","2.736,0","2.700,0","65,28K","0,19%"
"10.08.2020","2.700,0","2.696,0","2.718,0","2.683,0","35,81K","0,15%"
"07.08.2020","2.696,0","2.704,0","2.718,0","2.676,0","34,46K","-0,30%"
"06.08.2020","2.704,0","2.713,0","2.721,0","2.685,0","58,63K","-0,62%"
"05.08.2020","2.721,0","2.728,0","2.737,0","2.703,0","50,09K","-0,26%"
"04.08.2020","2.728,0","2.652,0","2.730,0","2.638,0","76,86K","2,94%"
"03.08.2020","2.650,0","2.689,0","2.699,0","2.643,0","56,18K","-1,45%"
"31.07.2020","2.689,0","2.700,0","2.700,0","2.670,0","44,71K","0,60%"
"30.07.2020","2.673,0","2.700,0","2.709,0","2.656,0","79,59K","-0,85%"
"29.07.2020","2.696,0","2.652,0","2.696,0","2.629,0","98,13K","1,66%"
"28.07.2020","2.652,0","2.625,0","2.652,0","2.610,0","63,39K","1,22%"
"27.07.2020","2.620,0","2.615,0","2.642,0","2.604,0","85,72K","0,27%"
"24.07.2020","2.613,0","2.600,0","2.615,0","2.571,0","52,40K","0,54%"
"23.07.2020","2.599,0","2.579,0","2.615,0","2.576,0","51,20K","0,85%"
"22.07.2020","2.577,0","2.599,0","2.601,0","2.566,0","53,15K","-0,58%"
"21.07.2020","2.592,0","2.610,0","2.630,0","2.586,0","52,94K","-0,61%"
"20.07.2020","2.608,0","2.600,0","2.618,0","2.586,0","35,09K","0,35%"
"17.07.2020","2.599,0","2.619,0","2.627,0","2.583,0","34,39K","-0,50%"
"16.07.2020","2.612,0","2.613,0","2.620,0","2.597,0","26,39K","0,31%"
"15.07.2020","2.604,0","2.604,0","2.632,0","2.595,0","49,73K","-0,38%"
"14.07.2020","2.614,0","2.526,0","2.614,0","2.518,0","73,98K","2,51%"
"13.07.2020","2.550,0","2.589,0","2.589,0","2.543,0","49,56K","-0,51%"
"10.07.2020","2.563,0","2.591,0","2.598,0","2.562,0","32,11K","-1,20%"
"09.07.2020","2.594,0","2.616,0","2.619,0","2.593,0","34,13K","-0,99%"
"08.07.2020","2.620,0","2.613,0","2.627,0","2.601,0","32,59K","0,15%"
"07.07.2020","2.616,0","2.604,0","2.629,0","2.593,0","38,96K","-0,19%"
"06.07.2020","2.621,0","2.601,0","2.629,0","2.592,0","56,60K","1,20%"
"03.07.2020","2.590,0","2.576,0","2.600,0","2.559,0","67,77K","-1,37%"
"02.07.2020","2.626,0","2.650,0","2.651,0","2.606,0","81,59K","-0,64%"
"30.06.2020","2.643,0","2.608,0","2.647,0","2.608,0","39,36K","1,54%"
"29.06.2020","2.603,0","2.608,0","2.629,0","2.602,0","63,98K","-0,04%"
"26.06.2020","2.604,0","2.651,0","2.651,0","2.602,0","61,67K","-0,99%"
"25.06.2020","2.630,0","2.647,0","2.652,0","2.598,0","130,75K","-1,20%"
"23.06.2020","2.662,0","2.682,0","2.687,0","2.631,0","86,90K","-0,56%"
"22.06.2020","2.677,0","2.688,0","2.688,0","2.646,0","64,32K","-0,34%"
"19.06.2020","2.686,0","2.670,0","2.686,0","2.645,0","136,56K","1,24%"
"18.06.2020","2.653,0","2.705,0","2.705,0","2.627,0","133,58K","-1,78%"
"17.06.2020","2.701,0","2.747,0","2.768,0","2.680,0","118,92K","-1,67%"
"16.06.2020","2.747,0","2.795,0","2.795,0","2.740,0","49,77K","-0,22%"
"15.06.2020","2.753,0","2.775,0","2.799,0","2.724,0","99,13K","-1,29%"
"11.06.2020","2.789,0","2.795,0","2.795,0","2.748,0","44,99K","-1,24%"
"10.06.2020","2.824,0","2.801,0","2.826,0","2.786,0","36,74K","0,82%"
"09.06.2020","2.801,0","2.800,0","2.810,0","2.783,0","38,48K","0,57%"
"08.06.2020","2.785,0","2.814,0","2.824,0","2.764,0","66,68K","-1,17%"
"05.06.2020","2.818,0","2.816,0","2.839,0","2.782,0","133,66K","0,07%"
"04.06.2020","2.816,0","2.837,0","2.857,0","2.782,0","82,32K","-0,81%"
"03.06.2020","2.839,0","2.819,0","2.844,0","2.778,0","71,25K","0,71%"
"02.06.2020","2.819,0","2.816,0","2.830,0","2.787,0","52,58K","0,61%"
"01.06.2020","2.802,0","2.786,0","2.819,0","2.724,0","100,13K","0,50%"
"29.05.2020","2.788,0","2.860,0","2.893,0","2.785,0","144,78K","-3,03%"
"28.05.2020","2.875,0","2.805,0","2.880,0","2.805,0","120,50K","2,24%"
"27.05.2020","2.812,0","2.801,0","2.833,0","2.797,0","59,43K","0,43%"
"26.05.2020","2.800,0","2.795,0","2.825,0","2.783,0","78,98K","0,14%"
"25.05.2020","2.796,0","2.789,0","2.813,0","2.760,0","58,60K","0,25%"
"22.05.2020","2.789,0","2.750,0","2.796,0","2.738,0","44,16K","1,86%"
"21.05.2020","2.738,0","2.774,0","2.783,0","2.736,0","77,63K","-1,30%"
"20.05.2020","2.774,0","2.746,0","2.798,0","2.721,0","90,57K","1,09%"
"19.05.2020","2.744,0","2.734,0","2.744,0","2.707,0","67,21K","0,37%"
"18.05.2020","2.734,0","2.772,0","2.773,0","2.722,0","93,48K","-0,80%"
"15.05.2020","2.756,0","2.733,0","2.768,0","2.724,0","57,76K","0,84%"
"14.05.2020","2.733,0","2.777,0","2.784,0","2.718,0","117,12K","-0,69%"
"13.05.2020","2.752,0","2.735,0","2.773,0","2.723,0","46,82K","0,26%"
"12.05.2020","2.745,0","2.730,0","2.765,0","2.720,0","31,01K","0,55%"
"08.05.2020","2.730,0","2.725,0","2.748,0","2.717,0","22,53K","0,18%"
"07.05.2020","2.725,0","2.756,0","2.775,0","2.723,0","53,14K","-1,16%"
"06.05.2020","2.757,0","2.740,0","2.780,0","2.710,0","60,05K","0,55%"
"05.05.2020","2.742,0","2.765,0","2.793,0","2.712,0","56,35K","-0,83%"
"04.05.2020","2.765,0","2.700,0","2.765,0","2.640,0","78,85K","2,37%"
"30.04.2020","2.701,0","2.746,0","2.774,0","2.693,0","100,47K","-2,17%"
"29.04.2020","2.761,0","2.794,0","2.794,0","2.749,0","84,06K","-1,04%"
"28.04.2020","2.790,0","2.730,0","2.800,0","2.730,0","108,79K","2,01%"
"27.04.2020","2.735,0","2.719,0","2.750,0","2.719,0","62,64K","0,59%"
"24.04.2020","2.719,0","2.705,0","2.730,0","2.656,0","58,19K","0,52%"
"23.04.2020","2.705,0","2.765,0","2.765,0","2.702,0","108,31K","-2,17%"
"22.04.2020","2.765,0","2.708,0","2.765,0","2.698,0","118,06K","2,71%"
"21.04.2020","2.692,0","2.640,0","2.692,0","2.598,0","146,89K","1,82%"
"20.04.2020","2.644,0","2.640,0","2.671,0","2.612,0","107,85K","0,65%"
"17.04.2020","2.627,0","2.609,0","2.654,0","2.600,0","62,79K","1,04%"
"16.04.2020","2.600,0","2.625,0","2.632,0","2.575,0","100,42K","-0,57%"
"15.04.2020","2.615,0","2.595,0","2.645,0","2.561,0","125,02K","1,08%"
"14.04.2020","2.587,0","2.552,0","2.620,0","2.548,0","89,07K","1,57%"
"13.04.2020","2.547,0","2.547,0","2.558,0","2.518,0","46,28K","0,20%"
"10.04.2020","2.542,0","2.599,0","2.599,0","2.536,0","39,00K","-1,28%"
"09.04.2020","2.575,0","2.579,0","2.594,0","2.515,0","153,12K","0,59%"
"08.04.2020","2.560,0","2.462,0","2.563,0","2.458,0","162,95K","3,23%"
"07.04.2020","2.480,0","2.455,0","2.488,0","2.447,0","84,79K","1,51%"
"06.04.2020","2.443,0","2.455,0","2.474,0","2.434,0","86,09K","0,53%"
"03.04.2020","2.430,0","2.472,0","2.482,0","2.425,0","73,64K","-0,37%"
"02.04.2020","2.439,0","2.455,0","2.487,0","2.439,0","82,09K","0,33%"
"01.04.2020","2.431,0","2.470,0","2.470,0","2.414,0","75,41K","-1,98%"
"31.03.2020","2.480,0","2.470,0","2.498,0","2.442,0","123,70K","0,28%"
"30.03.2020","2.473,0","2.395,0","2.473,0","2.380,0","150,66K","2,70%"
"27.03.2020","2.408,0","2.435,0","2.435,0","2.361,0","100,96K","-1,67%"
"26.03.2020","2.449,0","2.392,0","2.449,0","2.362,0","101,71K","1,74%"
"25.03.2020","2.407,0","2.422,0","2.439,0","2.355,0","128,37K","-0,50%"
"24.03.2020","2.419,0","2.364,0","2.425,0","2.360,0","118,33K","2,50%"
"23.03.2020","2.360,0","2.300,0","2.375,0","2.225,0","97,50K","2,12%"
"20.03.2020","2.311,0","2.315,0","2.406,0","2.302,0","161,67K","-0,13%"
"19.03.2020","2.314,0","2.261,0","2.359,0","2.200,0","208,36K","1,31%"
"18.03.2020","2.284,0","2.206,0","2.303,0","2.149,0","186,02K","2,15%"
"17.03.2020","2.236,0","2.124,0","2.249,0","2.084,0","156,57K","3,71%"
"16.03.2020","2.156,0","2.120,0","2.169,0","2.013,0","192,75K","2,72%"
"13.03.2020","2.099,0","2.200,0","2.249,0","2.072,0","294,09K","-3,36%"
"12.03.2020","2.172,0","2.296,0","2.334,0","2.166,0","280,87K","-6,58%"
"11.03.2020","2.325,0","2.390,0","2.394,0","2.306,0","137,41K","-0,94%"
"10.03.2020","2.347,0","2.221,0","2.425,0","2.206,0","359,41K","3,53%"
"06.03.2020","2.267,0","2.292,0","2.310,0","2.265,0","111,38K","-2,49%"
"05.03.2020","2.325,0","2.301,0","2.495,0","2.220,0","168,43K","1,44%"
"04.03.2020","2.292,0","2.258,0","2.300,0","2.232,0","113,47K","1,33%"
"03.03.2020","2.262,0","2.289,0","2.306,0","2.262,0","83,29K","0,22%"
"02.03.2020","2.257,0","2.322,0","2.325,0","2.251,0","154,18K","-2,59%"
"28.02.2020","2.317,0","2.349,0","2.350,0","2.255,0","159,20K","-1,66%"
"27.02.2020","2.356,0","2.371,0","2.408,0","2.350,0","119,05K","-1,67%"
"26.02.2020","2.396,0","2.382,0","2.417,0","2.367,0","152,21K","0,04%"
"25.02.2020","2.395,0","2.397,0","2.405,0","2.385,0","170,79K","-0,95%"
"21.02.2020","2.418,0","2.405,0","2.424,0","2.350,0","297,59K","-0,62%"
"20.02.2020","2.433,0","2.435,0","2.450,0","2.431,0","107,63K","0,25%"
"19.02.2020","2.427,0","2.417,0","2.446,0","2.417,0","73,67K","0,00%"
"18.02.2020","2.427,0","2.422,0","2.429,0","2.414,0","154,19K","0,17%"
"17.02.2020","2.423,0","2.422,0","2.430,0","2.416,0","51,57K","0,21%"
"14.02.2020","2.418,0","2.428,0","2.428,0","2.409,0","106,42K","0,00%"
"13.02.2020","2.418,0","2.430,0","2.434,0","2.414,0","145,33K","-0,53%"
"12.02.2020","2.431,0","2.433,0","2.448,0","2.424,0","95,21K","-0,33%"
"11.02.2020","2.439,0","2.445,0","2.453,0","2.435,0","91,11K","-0,04%"
"10.02.2020","2.440,0","2.439,0","2.444,0","2.426,0","61,58K","0,04%"
"07.02.2020","2.439,0","2.423,0","2.445,0","2.415,0","62,75K","0,79%"
"06.02.2020","2.420,0","2.443,0","2.445,0","2.418,0","76,45K","-0,49%"
"05.02.2020","2.432,0","2.437,0","2.459,0","2.426,0","79,82K","-0,49%"
"04.02.2020","2.444,0","2.430,0","2.450,0","2.417,0","85,97K","0,78%"
"03.02.2020","2.425,0","2.421,0","2.433,0","2.404,0","159,01K","-1,78%"
"31.01.2020","2.469,0","2.476,0","2.482,0","2.459,0","233,14K","-0,04%"
"30.01.2020","2.470,0","2.451,0","2.475,0","2.445,0","183,14K","0,73%"
"29.01.2020","2.452,0","2.428,0","2.457,0","2.422,0","172,54K","1,45%"
"28.01.2020","2.417,0","2.428,0","2.450,0","2.407,0","173,97K","-0,37%"
"27.01.2020","2.426,0","2.452,0","2.465,0","2.425,0","139,49K","-1,06%"
"24.01.2020","2.452,0","2.456,0","2.468,0","2.447,0","112,13K","0,20%"
"23.01.2020","2.447,0","2.451,0","2.465,0","2.441,0","113,31K","-0,65%"
"22.01.2020","2.463,0","2.494,0","2.494,0","2.463,0","85,21K","-0,97%"
"21.01.2020","2.487,0","2.498,0","2.498,0","2.475,0","72,57K","-0,12%"
"20.01.2020","2.490,0","2.492,0","2.513,0","2.486,0","191,24K","0,12%"
"17.01.2020","2.487,0","2.498,0","2.499,0","2.479,0","106,42K","0,16%"
"16.01.2020","2.483,0","2.485,0","2.499,0","2.462,0","110,27K","0,32%"
"15.01.2020","2.475,0","2.480,0","2.487,0","2.455,0","92,32K","-0,04%"
"14.01.2020","2.476,0","2.457,0","2.496,0","2.456,0","123,92K","0,98%"
"13.01.2020","2.452,0","2.427,0","2.460,0","2.422,0","119,65K","1,41%"
"10.01.2020","2.418,0","2.425,0","2.429,0","2.410,0","81,95K","0,00%"
"09.01.2020","2.418,0","2.419,0","2.433,0","2.403,0","89,18K","0,12%"
"08.01.2020","2.415,0","2.409,0","2.436,0","2.404,0","61,69K","-0,12%"
"06.01.2020","2.418,0","2.425,0","2.434,0","2.411,0","36,47K","-0,37%"
"03.01.2020","2.427,0","2.414,0","2.430,0","2.400,0","45,40K","0,79%"
"30.12.2019","2.408,0","2.396,0","2.419,0","2.396,0","57,27K","-0,04%"
"27.12.2019","2.409,0","2.395,0","2.416,0","2.384,0","72,54K","0,67%"
"26.12.2019","2.393,0","2.374,0","2.406,0","2.365,0","80,29K","0,80%"
"25.12.2019","2.374,0","2.366,0","2.378,0","2.363,0","51,46K","0,30%"
