"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","132,60","131,30","135,00","131,30","1,42K","-1,70%"
"29.09.2020","134,90","132,30","137,40","132,30","2,75K","1,43%"
"28.09.2020","133,00","132,20","134,20","130,80","2,38K","1,14%"
"25.09.2020","131,50","131,90","132,30","131,00","0,49K","0,46%"
"24.09.2020","130,90","132,00","132,00","128,10","2,32K","-0,08%"
"23.09.2020","131,00","134,70","134,70","130,80","3,90K","-0,83%"
"22.09.2020","132,10","131,90","134,60","131,90","3,12K","-1,34%"
"21.09.2020","133,90","133,00","134,80","132,40","1,29K","0,30%"
"18.09.2020","133,50","133,80","133,80","132,70","0,97K","0,38%"
"17.09.2020","133,00","134,70","134,70","132,10","0,95K","0,30%"
"16.09.2020","132,60","133,90","134,00","131,00","1,78K","0,30%"
"15.09.2020","132,20","131,30","136,40","131,00","2,71K","-0,23%"
"14.09.2020","132,50","133,50","134,60","130,50","0,69K","0,15%"
"11.09.2020","132,30","129,80","132,90","129,80","0,80K","-0,08%"
"10.09.2020","132,40","130,30","132,80","129,80","1,37K","0,76%"
"09.09.2020","131,40","129,10","132,50","129,10","1,36K","0,15%"
"08.09.2020","131,20","131,10","132,60","130,20","1,39K","-0,61%"
"07.09.2020","132,00","130,90","133,00","130,70","0,84K","0,99%"
"04.09.2020","130,70","134,00","134,10","130,70","0,96K","-1,36%"
"03.09.2020","132,50","130,70","137,00","130,70","3,36K","1,30%"
"02.09.2020","130,80","133,10","136,90","130,00","6,74K","-0,46%"
"01.09.2020","131,40","131,10","132,90","131,00","2,41K","-0,45%"
"31.08.2020","132,00","133,50","133,50","130,90","4,50K","-0,23%"
"28.08.2020","132,30","133,00","133,50","131,00","1,24K","-0,53%"
"27.08.2020","133,00","134,50","134,50","132,20","1,74K","-0,30%"
"26.08.2020","133,40","133,10","134,60","132,20","1,98K","-0,89%"
"25.08.2020","134,60","136,10","143,30","133,50","3,26K","-0,22%"
"24.08.2020","134,90","133,50","137,90","133,00","8,11K","-0,22%"
"21.08.2020","135,20","133,50","137,50","132,00","3,74K","1,35%"
"20.08.2020","133,40","139,70","139,70","133,40","3,38K","-3,61%"
"19.08.2020","138,40","137,60","140,30","133,70","7,62K","0,22%"
"18.08.2020","138,10","140,30","140,50","137,00","2,36K","0,22%"
"17.08.2020","137,80","138,20","140,00","137,00","13,77K","-0,51%"
"14.08.2020","138,50","141,10","143,90","138,00","9,34K","-1,21%"
"13.08.2020","140,20","136,00","143,40","134,10","29,53K","4,16%"
"12.08.2020","134,60","133,30","135,80","133,20","24,46K","-0,22%"
"11.08.2020","134,90","134,90","135,00","132,10","9,59K","0,82%"
"10.08.2020","133,80","133,50","135,00","131,10","6,07K","1,13%"
