"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","1.699,80","1.714,00","1.718,00","1.677,50","1,03M","0,02%"
"29.09.2020","1.699,40","1.705,00","1.712,70","1.685,40","873,46K","-0,39%"
"28.09.2020","1.706,00","1.667,00","1.723,70","1.659,00","1,06M","2,00%"
"25.09.2020","1.672,50","1.683,20","1.690,00","1.639,40","1,27M","-1,27%"
"24.09.2020","1.694,00","1.617,70","1.700,10","1.584,20","2,22M","4,96%"
"23.09.2020","1.614,00","1.631,90","1.657,00","1.603,90","2,02M","-2,75%"
"22.09.2020","1.659,60","1.700,00","1.701,00","1.633,90","2,12M","-1,72%"
"21.09.2020","1.688,70","1.744,80","1.744,80","1.641,40","2,40M","-3,52%"
"18.09.2020","1.750,40","1.775,80","1.778,20","1.726,90","2,45M","-1,22%"
"17.09.2020","1.772,10","1.874,50","1.888,70","1.771,10","2,52M","-6,53%"
"16.09.2020","1.896,00","1.880,40","1.906,00","1.877,40","1,04M","0,62%"
"15.09.2020","1.884,40","1.884,90","1.896,00","1.872,30","1,15M","0,06%"
"14.09.2020","1.883,30","1.929,10","1.930,50","1.863,50","1,27M","-1,78%"
"11.09.2020","1.917,50","1.915,90","1.923,50","1.897,90","956,05K","0,03%"
"10.09.2020","1.916,90","1.917,90","1.927,60","1.892,80","1,53M","0,31%"
"09.09.2020","1.911,00","1.895,00","1.920,90","1.861,00","4,54M","-1,90%"
"08.09.2020","1.948,10","2.007,40","2.027,80","1.902,30","1,82M","-2,86%"
"07.09.2020","2.005,50","1.934,70","2.027,00","1.923,90","1,95M","3,80%"
"04.09.2020","1.932,00","1.924,80","1.955,00","1.894,30","915,92K","0,36%"
"03.09.2020","1.925,00","1.969,00","1.969,90","1.904,10","892,65K","-2,97%"
"02.09.2020","1.984,00","2.030,90","2.043,00","1.964,00","807,93K","-3,19%"
"01.09.2020","2.049,30","2.035,00","2.061,30","2.005,00","1,32M","2,21%"
"31.08.2020","2.004,90","2.031,70","2.084,50","1.965,20","1,35M","-1,01%"
"28.08.2020","2.025,30","1.960,00","2.036,00","1.942,60","1,32M","4,22%"
"27.08.2020","1.943,30","1.977,80","2.004,20","1.927,80","1,30M","-2,11%"
"26.08.2020","1.985,20","1.949,80","1.988,00","1.914,00","1,04M","2,39%"
"25.08.2020","1.938,80","1.921,00","1.939,70","1.917,30","356,41K","0,93%"
"24.08.2020","1.921,00","1.923,00","1.947,90","1.902,60","607,69K","0,38%"
"21.08.2020","1.913,80","1.931,10","1.932,00","1.866,00","945,00K","-0,78%"
"20.08.2020","1.928,80","1.907,40","1.939,00","1.872,00","659,48K","1,78%"
"19.08.2020","1.895,00","1.936,00","1.964,30","1.885,00","610,89K","-3,12%"
"18.08.2020","1.956,00","1.975,10","1.991,60","1.945,20","689,41K","-0,21%"
"17.08.2020","1.960,20","1.909,90","1.968,40","1.900,20","839,65K","3,60%"
"14.08.2020","1.892,10","1.905,00","1.910,00","1.880,00","422,19K","-1,32%"
"13.08.2020","1.917,50","1.885,80","1.931,00","1.872,90","696,37K","1,99%"
"12.08.2020","1.880,10","1.797,00","1.929,00","1.791,20","1,42M","3,87%"
"11.08.2020","1.810,10","1.907,00","1.907,00","1.786,30","1,63M","-6,45%"
"10.08.2020","1.934,90","1.937,50","1.962,70","1.902,00","536,51K","0,36%"
"07.08.2020","1.927,90","1.954,90","1.973,00","1.887,90","1,04M","-1,79%"
"06.08.2020","1.963,00","1.965,40","1.979,60","1.930,20","1,09M","0,83%"
"05.08.2020","1.946,90","1.898,00","1.965,00","1.897,90","1,67M","2,79%"
"04.08.2020","1.894,10","1.849,90","1.897,80","1.805,00","1,24M","2,58%"
"03.08.2020","1.846,40","1.866,00","1.872,90","1.836,50","610,50K","-0,18%"
"31.07.2020","1.849,80","1.841,40","1.873,00","1.829,00","923,18K","2,46%"
"30.07.2020","1.805,30","1.787,80","1.839,40","1.781,40","821,44K","-0,91%"
"29.07.2020","1.821,90","1.798,80","1.832,30","1.783,90","1,07M","2,29%"
"28.07.2020","1.781,10","1.773,10","1.802,00","1.732,20","1,75M","-1,05%"
"27.07.2020","1.800,00","1.715,10","1.823,00","1.700,10","2,08M","7,16%"
"24.07.2020","1.679,80","1.636,60","1.686,80","1.623,00","1,36M","2,64%"
"23.07.2020","1.636,60","1.590,00","1.659,80","1.564,20","2,06M","3,91%"
"22.07.2020","1.575,00","1.520,30","1.575,00","1.519,00","1,18M","4,17%"
