"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","1.360,00","1.382,50","1.382,50","1.357,50","23,98K","-1,91%"
"29.09.2020","1.386,50","1.362,50","1.390,00","1.350,50","61,10K","1,20%"
"28.09.2020","1.370,00","1.349,00","1.378,00","1.321,00","76,11K","1,52%"
"25.09.2020","1.349,50","1.294,50","1.355,00","1.262,00","101,77K","4,45%"
"24.09.2020","1.292,00","1.288,50","1.296,50","1.230,00","41,25K","0,23%"
"23.09.2020","1.289,00","1.232,00","1.309,00","1.232,00","107,33K","3,53%"
"22.09.2020","1.245,00","1.231,00","1.245,00","1.204,00","45,68K","1,14%"
"21.09.2020","1.231,00","1.222,50","1.248,50","1.202,00","64,59K","-0,73%"
"18.09.2020","1.240,00","1.258,00","1.260,00","1.240,00","75,64K","-2,75%"
"17.09.2020","1.275,00","1.242,00","1.275,00","1.217,50","108,49K","2,70%"
"16.09.2020","1.241,50","1.240,00","1.270,00","1.232,50","57,10K","0,93%"
"15.09.2020","1.230,00","1.198,00","1.233,00","1.190,50","47,65K","3,23%"
"14.09.2020","1.191,50","1.202,00","1.209,00","1.177,50","66,60K","-0,08%"
"11.09.2020","1.192,50","1.207,00","1.239,50","1.192,00","65,39K","-2,09%"
"10.09.2020","1.218,00","1.224,50","1.224,50","1.200,50","22,39K","0,95%"
"09.09.2020","1.206,50","1.229,50","1.229,50","1.194,50","50,42K","-1,63%"
"08.09.2020","1.226,50","1.250,00","1.265,00","1.213,00","47,68K","-1,64%"
"07.09.2020","1.247,00","1.229,50","1.267,50","1.210,00","49,12K","2,26%"
"04.09.2020","1.219,50","1.225,00","1.248,50","1.204,00","42,60K","-0,81%"
"03.09.2020","1.229,50","1.253,50","1.278,00","1.222,00","61,78K","-3,61%"
"02.09.2020","1.275,50","1.309,00","1.319,50","1.266,50","54,67K","-1,88%"
"01.09.2020","1.300,00","1.342,00","1.369,50","1.260,00","121,78K","-2,37%"
"31.08.2020","1.331,50","1.349,50","1.390,00","1.325,50","53,47K","-0,45%"
"28.08.2020","1.337,50","1.358,50","1.366,50","1.325,00","45,60K","-1,11%"
"27.08.2020","1.352,50","1.384,00","1.403,50","1.347,50","72,97K","-1,35%"
"26.08.2020","1.371,00","1.399,50","1.418,00","1.365,50","51,37K","-1,58%"
"25.08.2020","1.393,00","1.395,00","1.409,50","1.389,00","31,60K","0,00%"
"24.08.2020","1.393,00","1.409,50","1.429,50","1.390,00","49,91K","-1,17%"
"21.08.2020","1.409,50","1.435,00","1.463,00","1.404,50","66,53K","-0,74%"
"20.08.2020","1.420,00","1.409,50","1.470,00","1.397,00","115,70K","0,39%"
"19.08.2020","1.414,50","1.470,00","1.521,00","1.405,00","184,04K","-2,38%"
"18.08.2020","1.449,00","1.464,50","1.470,00","1.440,50","17,32K","0,73%"
"17.08.2020","1.438,50","1.440,50","1.451,00","1.423,00","38,98K","-0,72%"
"14.08.2020","1.449,00","1.461,50","1.472,00","1.449,00","25,40K","-1,56%"
"13.08.2020","1.472,00","1.459,50","1.481,00","1.440,50","49,04K","2,58%"
"12.08.2020","1.435,00","1.469,50","1.476,50","1.377,00","48,46K","-1,37%"
"11.08.2020","1.455,00","1.502,00","1.551,50","1.440,00","63,58K","-3,06%"
"10.08.2020","1.501,00","1.500,00","1.534,50","1.465,00","46,58K","0,43%"
"07.08.2020","1.494,50","1.465,00","1.503,50","1.441,50","36,62K","2,43%"
"06.08.2020","1.459,00","1.460,00","1.464,00","1.420,00","24,85K","0,79%"
"05.08.2020","1.447,50","1.454,50","1.454,50","1.426,00","18,56K","0,91%"
"04.08.2020","1.434,50","1.438,00","1.442,50","1.415,00","21,34K","-0,03%"
"03.08.2020","1.435,00","1.437,00","1.480,50","1.416,00","43,76K","-0,14%"
