"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","342,00","350,00","350,00","342,00","3,65K","-1,04%"
"29.09.2020","345,60","343,00","347,80","343,00","4,40K","0,88%"
"28.09.2020","342,60","345,60","346,80","334,60","7,17K","-1,50%"
"25.09.2020","347,80","351,60","357,00","344,20","12,60K","0,81%"
"24.09.2020","345,00","365,80","365,80","318,80","30,98K","-4,38%"
"23.09.2020","360,80","366,40","375,60","359,60","8,91K","-1,47%"
"22.09.2020","366,20","362,60","373,00","362,40","14,08K","1,33%"
"21.09.2020","361,40","373,60","377,00","360,80","15,28K","-1,36%"
"18.09.2020","366,40","402,00","405,20","366,40","864,17K","-9,44%"
"17.09.2020","404,60","411,60","411,60","402,00","8,38K","-0,10%"
"16.09.2020","405,00","403,00","407,80","401,00","12,28K","0,85%"
"15.09.2020","401,60","401,00","405,40","400,20","9,09K","-0,35%"
"14.09.2020","403,00","407,00","412,00","399,60","17,16K","-0,89%"
"11.09.2020","406,60","411,00","411,00","402,00","14,09K","0,35%"
"10.09.2020","405,20","426,00","426,00","405,20","15,02K","-2,55%"
"09.09.2020","415,80","421,00","426,40","403,40","17,46K","-0,67%"
"08.09.2020","418,60","427,20","427,20","414,60","7,26K","-1,32%"
"07.09.2020","424,20","426,00","434,00","423,60","10,51K","-2,17%"
"04.09.2020","433,60","434,20","438,00","420,00","30,89K","-0,14%"
"03.09.2020","434,20","428,60","445,00","421,20","15,87K","1,31%"
"02.09.2020","428,60","420,20","433,80","410,00","11,14K","0,99%"
"01.09.2020","424,40","464,00","488,80","420,00","46,70K","-6,73%"
"31.08.2020","455,00","460,00","500,00","301,00","10,51K","-1,73%"
"28.08.2020","463,00","477,40","477,40","463,00","6,66K","-1,95%"
"27.08.2020","472,20","481,40","489,60","470,00","13,18K","-2,32%"
"26.08.2020","483,40","500,00","500,00","481,00","123,25K","-1,51%"
"25.08.2020","490,80","495,00","495,00","489,20","6,91K","-0,37%"
"24.08.2020","492,60","505,20","511,40","491,20","11,36K","0,29%"
"21.08.2020","491,20","487,20","504,80","486,80","8,17K","0,00%"
"20.08.2020","491,20","497,80","497,80","486,00","7,61K","-1,33%"
"19.08.2020","497,80","509,80","509,80","493,00","12,50K","-0,44%"
"18.08.2020","500,00","497,80","506,20","497,80","6,09K","-0,60%"
"17.08.2020","503,00","504,00","505,60","493,00","7,41K","-0,87%"
"14.08.2020","507,40","517,80","517,80","505,20","4,76K","-1,28%"
"13.08.2020","514,00","511,80","517,20","509,20","6,91K","-0,39%"
"12.08.2020","516,00","516,60","521,40","510,00","6,72K","-0,92%"
"11.08.2020","520,80","510,00","520,80","510,00","9,78K","2,12%"
"10.08.2020","510,00","513,20","513,20","501,00","10,87K","2,82%"
"07.08.2020","496,00","505,60","513,00","496,00","9,55K","-2,02%"
"06.08.2020","506,20","508,00","512,00","505,00","6,96K","-0,35%"
"05.08.2020","508,00","493,00","508,00","493,00","9,24K","1,60%"
"04.08.2020","500,00","496,60","502,20","493,60","9,39K","0,64%"
"03.08.2020","496,80","496,00","497,60","493,00","8,68K","0,98%"
"31.07.2020","492,00","500,00","504,80","492,00","9,36K","-1,48%"
"30.07.2020","499,40","514,00","515,80","496,20","11,04K","-2,73%"
"29.07.2020","513,40","506,20","513,40","506,20","10,33K","0,39%"
"28.07.2020","511,40","506,00","511,40","492,40","11,09K","0,63%"
"27.07.2020","508,20","510,20","513,80","506,20","9,65K","-0,78%"
"24.07.2020","512,20","506,60","512,20","505,20","9,48K","0,67%"
"23.07.2020","508,80","514,40","519,60","506,40","9,82K","-0,39%"
"22.07.2020","510,80","513,40","519,80","506,20","8,85K","-1,01%"
"21.07.2020","516,00","520,00","525,40","516,00","10,93K","-0,31%"
"20.07.2020","517,60","493,00","529,40","487,20","9,21K","4,14%"
"17.07.2020","497,00","490,60","500,00","490,00","9,46K","0,36%"
"16.07.2020","495,20","515,00","515,00","485,80","9,54K","-2,56%"
"15.07.2020","508,20","508,20","525,40","455,20","10,61K","-3,24%"
"14.07.2020","525,20","514,40","525,20","506,80","8,91K","0,50%"
"13.07.2020","522,60","518,80","527,60","518,80","9,33K","0,11%"
"10.07.2020","522,00","532,40","534,80","520,60","9,06K","-2,10%"
"09.07.2020","533,20","541,00","541,00","533,20","11,92K","-1,77%"
"08.07.2020","542,80","534,60","542,80","534,60","11,09K","-1,31%"
"07.07.2020","550,00","536,00","550,00","534,20","8,40K","1,81%"
"06.07.2020","540,20","537,00","544,60","531,60","9,04K","-0,77%"
"03.07.2020","544,40","546,40","551,20","544,00","10,55K","-0,07%"
"02.07.2020","544,80","537,00","544,80","535,40","7,94K","1,45%"
"30.06.2020","537,00","529,00","540,00","528,00","9,47K","0,60%"
"29.06.2020","533,80","523,40","537,00","523,20","9,61K","-0,41%"
"26.06.2020","536,00","531,00","540,00","531,00","11,51K","0,56%"
"25.06.2020","533,00","513,20","539,00","513,00","10,93K","0,57%"
"23.06.2020","530,00","513,40","530,00","501,40","10,48K","1,96%"
"22.06.2020","519,80","482,20","519,80","478,80","11,32K","3,42%"
"19.06.2020","502,60","464,40","502,60","464,40","22,45K","7,16%"
"18.06.2020","469,00","458,00","474,00","456,20","13,50K","2,85%"
"17.06.2020","456,00","450,00","460,00","450,00","11,69K","0,75%"
"16.06.2020","452,60","451,80","459,00","451,20","12,33K","0,18%"
