"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","383,40","382,95","387,95","382,10","3,49M","-0,21%"
"29.09.2020","384,20","386,00","389,10","380,85","4,36M","-0,44%"
"28.09.2020","385,90","382,35","386,45","380,45","3,44M","1,18%"
"25.09.2020","381,40","379,00","381,50","376,95","4,45M","1,25%"
"24.09.2020","376,70","373,20","379,00","369,15","3,90M","1,60%"
"23.09.2020","370,75","375,80","379,55","370,15","3,81M","-1,08%"
"22.09.2020","374,80","367,70","375,70","366,75","4,16M","1,76%"
"21.09.2020","368,30","376,00","376,00","363,40","6,77M","-2,18%"
"18.09.2020","376,50","382,90","384,00","374,50","4,17M","-1,58%"
"17.09.2020","382,55","383,00","384,15","378,65","5,34M","-0,83%"
"16.09.2020","385,75","386,05","389,90","381,80","4,94M","0,12%"
"15.09.2020","385,30","374,00","385,70","373,10","4,05M","2,90%"
"14.09.2020","374,45","372,00","376,90","370,65","3,28M","1,19%"
"11.09.2020","370,05","367,00","371,70","365,50","3,24M","0,86%"
"10.09.2020","366,90","372,05","373,00","365,65","4,26M","-1,32%"
"09.09.2020","371,80","367,70","372,75","367,35","4,60M","1,06%"
"08.09.2020","367,90","370,15","372,65","364,50","5,02M","-0,94%"
"07.09.2020","371,40","370,00","373,40","367,45","3,42M","-0,30%"
"04.09.2020","372,50","365,75","372,80","365,00","5,66M","1,72%"
"03.09.2020","366,20","371,00","372,35","363,30","4,80M","-1,43%"
"02.09.2020","371,50","374,15","377,50","367,30","4,53M","-0,64%"
"01.09.2020","373,90","375,30","375,45","369,80","3,56M","0,19%"
"31.08.2020","373,20","382,00","385,00","371,25","7,52M","-1,96%"
"28.08.2020","380,65","389,90","391,20","378,80","3,50M","-2,31%"
"27.08.2020","389,65","397,95","399,00","388,30","3,89M","-1,97%"
"26.08.2020","397,50","393,05","398,50","391,90","5,66M","1,20%"
"25.08.2020","392,80","389,50","393,45","386,70","5,98M","1,07%"
"24.08.2020","388,65","384,55","388,70","383,25","3,24M","1,53%"
"21.08.2020","382,80","382,05","386,20","377,60","4,10M","0,31%"
"20.08.2020","381,60","385,10","386,30","379,10","5,24M","-1,78%"
"19.08.2020","388,50","392,40","393,25","385,40","3,87M","-0,85%"
"18.08.2020","391,85","388,00","394,30","386,15","5,60M","0,59%"
"17.08.2020","389,55","389,50","393,10","383,20","6,55M","0,41%"
"14.08.2020","387,95","387,50","390,00","382,65","6,09M","0,17%"
"13.08.2020","387,30","379,00","389,70","376,00","10,59M","2,50%"
"12.08.2020","377,85","369,00","379,05","368,55","7,43M","2,90%"
"11.08.2020","367,20","369,00","371,85","366,70","6,20M","-0,29%"
"10.08.2020","368,25","367,95","370,95","366,60","3,34M","0,30%"
"07.08.2020","367,15","367,80","370,50","365,20","4,83M","-0,50%"
"06.08.2020","369,00","365,05","374,85","362,45","6,14M","1,23%"
"05.08.2020","364,50","361,00","365,60","359,00","7,95M","1,31%"
"04.08.2020","359,80","356,50","360,70","355,00","4,72M","0,94%"
"03.08.2020","356,45","356,00","358,35","355,25","3,73M","-0,13%"
"31.07.2020","356,90","356,00","358,20","353,50","4,02M","0,30%"
"30.07.2020","355,85","359,05","359,60","352,60","5,66M","-1,26%"
"29.07.2020","360,40","356,00","360,40","355,45","5,48M","1,41%"
"28.07.2020","355,40","358,95","359,30","355,00","4,09M","-0,80%"
"27.07.2020","358,25","361,00","361,00","356,30","4,49M","-0,42%"
"24.07.2020","359,75","358,20","360,70","357,40","4,49M","-0,07%"
"23.07.2020","360,00","366,00","366,55","358,10","3,23M","-1,29%"
"22.07.2020","364,70","364,00","366,80","362,20","3,39M","0,07%"
"21.07.2020","364,45","362,50","367,75","362,20","5,28M","0,86%"
"20.07.2020","361,35","359,35","361,65","355,90","3,79M","0,42%"
"17.07.2020","359,85","361,00","362,25","358,35","2,15M","-0,35%"
"16.07.2020","361,10","357,00","361,45","355,85","2,85M","0,74%"
"15.07.2020","358,45","355,10","362,95","353,35","8,35M","0,97%"
"14.07.2020","355,00","355,95","355,95","349,05","7,44M","0,01%"
"13.07.2020","354,95","366,00","367,40","354,30","5,01M","-2,49%"
"10.07.2020","364,00","361,05","364,50","356,80","4,24M","-0,07%"
"09.07.2020","364,25","366,85","367,45","360,65","3,95M","-0,52%"
"08.07.2020","366,15","366,00","366,80","362,75","2,85M","0,08%"
"07.07.2020","365,85","366,00","368,80","364,55","3,43M","-0,80%"
"06.07.2020","368,80","367,60","373,65","367,00","5,17M","0,94%"
"03.07.2020","365,35","367,50","368,20","362,95","3,35M","-0,19%"
"02.07.2020","366,05","364,05","367,80","362,50","3,70M","1,17%"
"30.06.2020","361,80","365,60","366,20","359,50","4,14M","-1,01%"
"29.06.2020","365,50","365,50","367,45","361,70","4,33M","-0,42%"
"26.06.2020","367,05","373,05","373,05","366,00","3,59M","-1,20%"
"25.06.2020","371,50","366,95","372,00","362,20","9,32M","-0,56%"
"23.06.2020","373,60","376,90","377,75","372,50","4,26M","-0,55%"
"22.06.2020","375,65","374,55","379,00","370,50","5,86M","-0,13%"
"19.06.2020","376,15","376,15","378,80","373,70","7,04M","0,67%"
"18.06.2020","373,65","371,70","374,50","369,25","5,31M","0,51%"
"17.06.2020","371,75","372,55","376,85","371,05","6,43M","0,09%"
"16.06.2020","371,40","372,15","376,80","370,25","9,21M","1,43%"
"15.06.2020","366,15","368,70","369,05","359,55","12,12M","-2,65%"
"11.06.2020","376,10","382,90","382,90","370,50","15,67M","-6,05%"
"10.06.2020","400,30","401,60","403,75","397,25","8,81M","-0,42%"
"09.06.2020","402,00","403,00","403,90","394,30","10,12M","0,46%"
"08.06.2020","400,15","407,00","408,25","395,00","12,65M","-0,45%"
"05.06.2020","401,95","394,50","402,00","393,00","11,60M","3,05%"
"04.06.2020","390,05","397,00","397,30","387,65","8,82M","-1,74%"
"03.06.2020","396,95","390,20","397,60","388,40","13,93M","2,57%"
"02.06.2020","387,00","380,55","387,00","379,80","13,08M","2,19%"
"01.06.2020","378,70","380,00","387,00","376,35","8,34M","0,66%"
"29.05.2020","376,20","374,05","376,35","370,40","10,71M","-0,33%"
"28.05.2020","377,45","376,80","378,20","372,50","7,37M","0,68%"
"27.05.2020","374,90","373,80","380,00","366,35","12,19M","0,13%"
