"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","1,474","1,473","1,487","1,462","96,19M","0,00%"
"29.09.2020","1,474","1,480","1,498","1,452","288,71M","-0,94%"
"28.09.2020","1,488","1,477","1,492","1,467","97,12M","1,37%"
"25.09.2020","1,468","1,494","1,509","1,443","228,28M","-1,75%"
"24.09.2020","1,494","1,476","1,501","1,459","115,50M","1,34%"
"23.09.2020","1,474","1,500","1,505","1,457","202,63M","-1,67%"
"22.09.2020","1,499","1,484","1,516","1,482","200,88M","0,49%"
"21.09.2020","1,492","1,537","1,584","1,475","577,52M","-2,93%"
"18.09.2020","1,537","1,532","1,544","1,510","286,19M","0,67%"
"17.09.2020","1,527","1,451","1,527","1,446","472,80M","4,43%"
"16.09.2020","1,462","1,485","1,502","1,454","222,38M","-1,23%"
"15.09.2020","1,480","1,476","1,495","1,471","142,71M","0,58%"
"14.09.2020","1,472","1,489","1,502","1,470","162,35M","-0,63%"
"11.09.2020","1,481","1,440","1,485","1,434","204,90M","2,26%"
"10.09.2020","1,448","1,452","1,453","1,423","127,91M","-0,24%"
"09.09.2020","1,452","1,435","1,452","1,416","135,98M","0,26%"
"08.09.2020","1,448","1,465","1,467","1,413","172,87M","-0,62%"
"07.09.2020","1,457","1,444","1,464","1,439","85,37M","0,93%"
"04.09.2020","1,444","1,456","1,469","1,433","130,80M","-1,04%"
"03.09.2020","1,459","1,471","1,485","1,446","143,64M","-0,77%"
"02.09.2020","1,470","1,490","1,503","1,448","266,36M","-0,97%"
"01.09.2020","1,485","1,457","1,487","1,447","140,26M","2,20%"
"31.08.2020","1,452","1,493","1,497","1,441","308,36M","-2,15%"
