"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","294,85","293,20","295,30","292,00","665,51K","0,43%"
"29.09.2020","293,60","299,05","302,00","293,60","846,74K","-1,64%"
"28.09.2020","298,50","293,05","298,50","292,25","1,01M","2,16%"
"25.09.2020","292,20","292,00","293,45","289,50","986,15K","0,88%"
"24.09.2020","289,65","292,20","297,00","288,50","1,76M","-0,92%"
"23.09.2020","292,35","296,75","299,50","291,00","1,77M","-1,03%"
"22.09.2020","295,40","296,00","299,70","295,15","1,60M","-0,07%"
"21.09.2020","295,60","305,00","306,40","295,15","2,04M","-3,07%"
"18.09.2020","304,95","306,80","309,05","304,15","1,41M","-0,25%"
"17.09.2020","305,70","311,95","313,95","304,50","2,92M","-2,80%"
"16.09.2020","314,50","317,80","319,55","312,15","1,41M","-0,66%"
"15.09.2020","316,60","311,15","317,30","310,35","1,23M","2,01%"
"14.09.2020","310,35","309,45","314,90","308,65","686,02K","1,04%"
"11.09.2020","307,15","303,70","309,20","303,70","663,92K","0,36%"
"10.09.2020","306,05","304,60","307,90","302,55","713,83K","0,54%"
"09.09.2020","304,40","304,50","308,90","303,40","885,26K","-0,29%"
"08.09.2020","305,30","313,75","314,60","302,70","2,04M","-2,58%"
"07.09.2020","313,40","314,00","314,85","311,35","593,47K","-0,19%"
"04.09.2020","314,00","312,95","315,90","311,20","622,00K","0,21%"
"03.09.2020","313,35","312,95","315,10","311,75","1,24M","0,03%"
"02.09.2020","313,25","317,75","318,90","313,25","1,70M","-1,48%"
"01.09.2020","317,95","318,05","318,90","316,10","1,06M","0,00%"
"31.08.2020","317,95","318,20","320,00","316,55","1,14M","0,13%"
"28.08.2020","317,55","320,00","320,05","317,00","913,28K","-0,77%"
"27.08.2020","320,00","320,85","322,30","318,10","1,24M","-0,22%"
"26.08.2020","320,70","320,95","320,95","319,20","1,19M","0,38%"
"25.08.2020","319,50","321,30","321,80","319,15","1,05M","-0,20%"
"24.08.2020","320,15","321,00","322,40","319,20","1,34M","0,33%"
"21.08.2020","319,10","321,50","323,15","317,75","1,44M","-0,14%"
"20.08.2020","319,55","324,00","324,50","318,40","2,24M","-1,83%"
"19.08.2020","325,50","327,00","328,15","324,05","1,92M","-0,32%"
"18.08.2020","326,55","328,20","330,15","326,25","889,70K","-0,27%"
"17.08.2020","327,45","332,10","333,00","327,15","1,69M","-0,68%"
"14.08.2020","329,70","332,10","333,15","326,55","2,01M","-0,39%"
"13.08.2020","331,00","329,25","333,30","328,75","2,33M","0,68%"
"12.08.2020","328,75","325,95","328,75","325,00","2,48M","1,15%"
"11.08.2020","325,00","323,00","326,15","321,90","1,23M","0,84%"
"10.08.2020","322,30","322,70","323,30","320,70","602,29K","0,31%"
"07.08.2020","321,30","320,45","322,00","319,40","685,74K","0,25%"
"06.08.2020","320,50","322,85","324,50","320,00","1,40M","-0,71%"
"05.08.2020","322,80","320,00","323,80","319,00","1,52M","1,16%"
"04.08.2020","319,10","318,95","320,40","317,00","1,04M","0,11%"
"03.08.2020","318,75","321,50","322,80","316,15","2,44M","-0,64%"
"31.07.2020","320,80","321,15","325,40","320,80","638,87K","0,09%"
