"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.01.2020","51,38","50,58","51,65","50,56","30,45M","1,79%"
"30.12.2019","50,47","50,94","51,30","50,40","27,94M","-0,76%"
"27.12.2019","50,85","51,05","51,42","50,66","28,58M","-0,58%"
"26.12.2019","51,15","51,00","51,50","50,28","38,62M","-0,11%"
"25.12.2019","51,21","52,25","52,34","51,05","27,40M","-1,91%"
"24.12.2019","52,20","51,98","52,77","50,83","124,56M","1,06%"
"23.12.2019","51,65","48,18","51,70","48,12","137,91M","7,36%"
"20.12.2019","48,12","48,20","48,47","47,95","29,81M","-0,07%"
"19.12.2019","48,15","48,40","48,68","47,82","46,93M","-0,56%"
"18.12.2019","48,42","48,35","49,13","47,79","64,12M","0,24%"
"17.12.2019","48,31","48,10","48,70","47,58","64,70M","0,58%"
"16.12.2019","48,03","47,63","48,75","46,51","67,48M","1,09%"
"13.12.2019","47,51","48,50","49,45","47,06","88,35M","-1,44%"
"12.12.2019","48,20","45,33","48,48","45,30","152,38M","7,03%"
"11.12.2019","45,03","43,32","45,13","43,32","67,33M","3,79%"
"10.12.2019","43,39","43,94","44,04","43,00","31,37M","-1,23%"
"09.12.2019","43,93","43,35","44,21","43,26","48,90M","1,35%"
"06.12.2019","43,35","43,35","43,58","42,44","51,41M","0,34%"
"05.12.2019","43,20","43,90","44,17","42,90","46,03M","-1,14%"
"04.12.2019","43,70","42,60","44,63","41,56","79,85M","2,73%"
"03.12.2019","42,54","43,25","43,65","42,47","44,62M","-1,69%"
"02.12.2019","43,27","44,00","44,75","43,24","39,77M","-1,88%"
"29.11.2019","44,10","43,59","44,29","42,90","54,28M","1,04%"
"28.11.2019","43,65","44,40","44,63","43,26","52,75M","-1,94%"
"27.11.2019","44,51","44,99","45,17","44,24","42,69M","-1,09%"
"26.11.2019","45,00","46,30","46,42","44,46","95,56M","-2,57%"
"25.11.2019","46,19","46,76","47,24","45,92","26,84M","-1,17%"
"22.11.2019","46,73","45,86","47,18","45,63","40,95M","1,86%"
"21.11.2019","45,88","46,33","46,86","45,54","40,49M","-1,28%"
"20.11.2019","46,47","46,72","46,75","46,13","28,10M","-0,71%"
"19.11.2019","46,80","46,33","47,38","46,13","44,47M","1,01%"
"18.11.2019","46,33","46,60","46,90","45,85","44,28M","-0,26%"
"15.11.2019","46,45","47,62","47,88","46,19","53,42M","-1,80%"
"14.11.2019","47,30","47,97","49,00","47,07","58,07M","-1,03%"
"13.11.2019","47,79","47,82","48,60","47,08","42,59M","-0,30%"
"12.11.2019","47,94","48,71","49,95","47,40","98,43M","-1,26%"
"11.11.2019","48,54","46,51","49,28","46,00","117,61M","4,05%"
"08.11.2019","46,65","47,30","47,34","46,08","40,77M","-1,34%"
"07.11.2019","47,29","46,17","47,57","45,82","52,95M","2,32%"
"06.11.2019","46,22","45,98","46,38","45,08","54,76M","0,23%"
"05.11.2019","46,12","47,10","47,83","45,81","98,09M","-0,30%"
"01.11.2019","46,26","43,01","46,36","43,01","133,96M","7,57%"
"31.10.2019","43,00","43,31","43,95","42,65","50,36M","-0,92%"
"30.10.2019","43,40","44,39","44,79","42,16","103,98M","-2,58%"
"29.10.2019","44,55","44,50","45,79","43,50","138,46M","-0,11%"
"28.10.2019","44,60","46,08","48,91","43,50","285,25M","-4,25%"
"25.10.2019","46,58","43,75","48,00","43,29","371,94M","6,96%"
"24.10.2019","43,55","40,53","43,55","40,00","322,83M","8,41%"
"23.10.2019","40,17","36,63","42,81","36,39","222,31M","9,38%"
"22.10.2019","36,72","35,96","36,74","35,96","24,11M","1,90%"
"21.10.2019","36,04","36,20","36,31","35,92","12,50M","-0,36%"
"18.10.2019","36,17","36,20","36,55","36,11","14,57M","-0,08%"
"17.10.2019","36,20","36,60","36,73","36,08","18,37M","-1,43%"
"16.10.2019","36,72","35,91","36,84","35,88","26,34M","2,13%"
"15.10.2019","35,96","36,20","36,27","35,72","17,89M","-0,80%"
"14.10.2019","36,25","36,75","36,88","36,04","13,73M","-1,29%"
"11.10.2019","36,72","36,65","37,13","36,40","31,85M","0,51%"
"10.10.2019","36,54","36,40","36,69","36,14","19,03M","0,29%"
"09.10.2019","36,44","36,11","36,72","35,83","32,09M","0,96%"
"08.10.2019","36,09","36,00","36,47","35,67","24,08M","0,25%"
"07.10.2019","36,00","35,53","36,13","35,16","25,74M","2,20%"
"04.10.2019","35,22","35,88","35,88","35,15","31,79M","-1,01%"
"03.10.2019","35,58","35,00","35,88","34,60","41,12M","1,53%"
"02.10.2019","35,05","35,95","36,05","34,85","33,57M","-2,63%"
"01.10.2019","35,99","35,53","36,97","35,42","62,09M","1,68%"
"30.09.2019","35,40","35,07","35,69","34,53","51,68M","1,62%"
"27.09.2019","34,83","34,72","35,17","34,65","17,03M","0,35%"
"26.09.2019","34,72","34,49","35,31","34,30","27,15M","0,49%"
"25.09.2019","34,54","34,95","34,95","34,05","43,87M","-1,16%"
"24.09.2019","34,95","35,65","35,83","34,85","24,04M","-1,83%"
"23.09.2019","35,60","35,50","35,62","34,64","40,35M","0,30%"
"20.09.2019","35,49","35,55","35,99","35,21","47,26M","-0,57%"
"19.09.2019","35,70","35,49","36,85","35,15","79,57M","0,55%"
"18.09.2019","35,51","36,50","36,73","35,12","89,72M","-2,61%"
"17.09.2019","36,46","37,61","38,34","36,03","101,45M","-3,30%"
"16.09.2019","37,70","38,00","38,85","37,13","115,81M","0,86%"
"13.09.2019","37,38","36,40","37,72","36,06","119,99M","2,71%"
"12.09.2019","36,40","36,08","37,95","35,51","231,33M","1,10%"
"11.09.2019","36,00","33,85","36,20","33,42","129,93M","7,17%"
"10.09.2019","33,59","33,03","33,86","32,65","61,20M","1,60%"
"09.09.2019","33,06","33,31","34,43","32,85","59,11M","-1,17%"
"06.09.2019","33,45","33,26","33,70","32,37","91,40M","-0,59%"
"05.09.2019","33,65","35,47","35,70","33,24","184,89M","-4,93%"
"04.09.2019","35,40","35,97","38,52","33,13","357,20M","-0,30%"
"03.09.2019","35,50","31,07","37,29","30,18","454,21M","15,17%"
"02.09.2019","30,83","27,44","30,83","27,18","142,79M","12,30%"
"30.08.2019","27,45","26,43","27,47","26,43","19,70M","3,43%"
"29.08.2019","26,54","26,27","26,54","26,16","11,11M","1,01%"
"28.08.2019","26,27","26,05","26,29","25,91","14,53M","0,69%"
"27.08.2019","26,09","25,65","26,09","25,54","29,31M","2,27%"
"26.08.2019","25,51","25,66","25,81","25,47","5,87M","-0,43%"
"23.08.2019","25,63","25,60","25,95","25,60","11,83M","0,29%"
"22.08.2019","25,55","25,85","25,98","25,48","9,30M","-1,14%"
"21.08.2019","25,84","26,15","26,15","25,60","11,47M","-0,81%"
"20.08.2019","26,06","25,82","26,15","25,76","8,25M","0,70%"
"19.08.2019","25,88","25,85","26,01","25,65","7,57M","0,29%"
"16.08.2019","25,80","25,77","25,94","25,47","11,93M","0,00%"
"15.08.2019","25,80","26,10","26,48","25,67","19,49M","-1,15%"
"14.08.2019","26,10","26,66","26,66","26,08","10,84M","-1,86%"
"13.08.2019","26,59","26,65","26,87","26,31","11,52M","-0,19%"
"12.08.2019","26,65","26,42","26,73","26,40","8,86M","1,52%"
"09.08.2019","26,25","26,07","26,56","26,03","12,07M","0,56%"
"08.08.2019","26,10","26,15","26,32","26,10","11,33M","0,12%"
"07.08.2019","26,07","26,00","26,15","25,80","14,71M","0,27%"
"06.08.2019","26,00","26,50","26,50","26,00","16,42M","-1,27%"
"05.08.2019","26,33","26,64","26,90","26,30","13,75M","-1,77%"
"02.08.2019","26,81","26,87","27,05","26,54","23,49M","-1,00%"
"01.08.2019","27,08","26,83","27,08","26,67","12,72M","0,07%"
"31.07.2019","27,06","26,91","27,06","26,70","11,08M","0,56%"
"30.07.2019","26,91","26,80","26,94","26,60","14,15M","0,69%"
"29.07.2019","26,73","26,24","26,73","26,20","9,03M","2,38%"
"26.07.2019","26,10","26,50","26,56","26,08","17,75M","-1,86%"
"25.07.2019","26,60","26,63","26,74","26,27","11,01M","-0,11%"
"24.07.2019","26,63","26,64","26,66","26,43","6,91M","0,00%"
"23.07.2019","26,63","26,03","26,83","26,03","17,34M","2,44%"
"22.07.2019","26,00","26,42","26,48","26,00","9,20M","-1,48%"
"19.07.2019","26,39","26,34","26,58","26,27","9,02M","0,46%"
"18.07.2019","26,26","26,41","26,44","26,25","8,77M","-0,53%"
"17.07.2019","26,41","26,28","26,57","26,20","20,38M","-1,58%"
"16.07.2019","26,83","26,57","26,86","26,57","29,13M","0,98%"
"15.07.2019","26,57","26,74","26,95","26,54","20,38M","-0,82%"
"12.07.2019","26,79","26,70","26,85","26,50","11,03M","0,32%"
"11.07.2019","26,70","27,08","27,19","26,57","13,93M","-1,62%"
"10.07.2019","27,15","27,13","27,33","27,06","12,83M","-0,20%"
"09.07.2019","27,20","26,85","27,20","26,84","11,99M","1,04%"
"08.07.2019","26,92","26,80","26,92","26,69","9,08M","0,45%"
"05.07.2019","26,80","26,92","26,92","26,62","7,55M","-0,19%"
"04.07.2019","26,85","26,80","26,86","26,71","6,82M","0,19%"
"03.07.2019","26,80","26,68","26,89","26,54","10,05M","0,24%"
"02.07.2019","26,74","26,40","26,74","26,40","11,02M","1,38%"
"01.07.2019","26,37","26,41","26,63","26,37","9,37M","0,11%"
"28.06.2019","26,34","26,31","26,53","26,25","15,32M","0,08%"
"27.06.2019","26,32","26,29","26,45","26,08","13,62M","0,13%"
"26.06.2019","26,28","25,91","26,36","25,89","14,51M","1,41%"
"25.06.2019","25,92","25,99","26,09","25,73","12,69M","-0,31%"
"24.06.2019","26,00","25,83","26,07","25,78","12,19M","0,68%"
"21.06.2019","25,83","25,90","26,06","25,70","25,40M","-0,44%"
"20.06.2019","25,94","25,51","25,94","25,40","36,71M","2,09%"
