"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","2.040,00","2.060,00","2.068,00","2.029,00","165,43K","-1,67%"
"29.09.2020","2.074,60","2.083,80","2.084,40","2.036,40","122,67K","0,22%"
"28.09.2020","2.070,00","2.028,40","2.085,00","2.015,80","307,09K","2,05%"
"25.09.2020","2.028,40","2.049,00","2.055,00","1.965,60","463,63K","0,12%"
"24.09.2020","2.026,00","2.105,00","2.117,40","2.014,40","425,49K","-2,75%"
"23.09.2020","2.083,20","2.163,40","2.165,00","2.058,40","1,38M","-3,78%"
"22.09.2020","2.165,00","1.937,40","2.195,00","1.937,40","850,64K","10,79%"
"21.09.2020","1.954,20","1.938,00","1.995,00","1.910,00","278,40K","-0,41%"
"18.09.2020","1.962,20","1.974,40","2.014,00","1.922,00","237,50K","-0,05%"
"17.09.2020","1.963,20","1.967,80","1.997,60","1.818,00","329,48K","-0,24%"
"16.09.2020","1.968,00","1.946,80","1.988,00","1.907,80","266,11K","2,67%"
"15.09.2020","1.916,80","1.841,00","1.925,00","1.831,40","272,94K","4,71%"
"14.09.2020","1.830,60","1.840,00","1.857,00","1.792,40","127,88K","0,53%"
"11.09.2020","1.821,00","1.840,20","1.859,80","1.803,60","140,82K","-1,00%"
"10.09.2020","1.839,40","1.827,20","1.859,60","1.812,40","93,63K","0,98%"
"09.09.2020","1.821,60","1.830,00","1.858,40","1.800,00","212,70K","-1,27%"
"08.09.2020","1.845,00","1.900,00","1.919,80","1.804,00","292,79K","-2,29%"
"07.09.2020","1.888,20","1.793,20","1.905,40","1.774,00","246,36K","4,90%"
"04.09.2020","1.800,00","1.770,20","1.820,00","1.721,40","181,16K","0,67%"
"03.09.2020","1.788,00","1.848,80","1.866,00","1.781,00","233,13K","-2,60%"
"02.09.2020","1.835,80","1.807,40","1.869,60","1.773,00","237,29K","1,13%"
"01.09.2020","1.815,20","1.878,00","1.878,00","1.795,60","335,86K","-4,13%"
"31.08.2020","1.893,40","1.884,40","1.950,40","1.851,60","266,46K","0,93%"
"28.08.2020","1.876,00","1.930,00","1.930,00","1.821,00","194,64K","-1,00%"
"27.08.2020","1.895,00","1.984,80","1.989,20","1.870,00","256,45K","-4,35%"
"26.08.2020","1.981,20","2.040,00","2.050,00","1.960,80","200,74K","-0,94%"
"25.08.2020","2.000,00","1.923,20","2.000,00","1.923,20","212,78K","4,01%"
"24.08.2020","1.922,80","1.895,20","1.930,00","1.883,40","122,73K","1,63%"
"21.08.2020","1.892,00","1.827,60","1.900,00","1.824,60","264,75K","3,73%"
"20.08.2020","1.824,00","1.819,00","1.845,00","1.776,60","268,41K","1,11%"
"19.08.2020","1.804,00","1.770,20","1.855,00","1.751,60","338,53K","1,85%"
"18.08.2020","1.771,20","1.828,60","1.834,60","1.750,00","151,72K","-0,96%"
