"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","0,0347","0,0345","0,0348","0,0343","17,24B","0,00%"
"29.09.2020","0,0347","0,0345","0,0348","0,0338","31,70B","0,59%"
"28.09.2020","0,0345","0,0343","0,0346","0,0342","18,39B","0,79%"
"25.09.2020","0,0342","0,0343","0,0344","0,0339","18,76B","-0,15%"
"24.09.2020","0,0343","0,0341","0,0346","0,0340","35,48B","-0,23%"
"23.09.2020","0,0344","0,0346","0,0349","0,0343","27,37B","-0,81%"
"22.09.2020","0,0346","0,0348","0,0351","0,0343","51,07B","-0,63%"
"21.09.2020","0,0349","0,0355","0,0355","0,0345","27,06B","-1,79%"
"18.09.2020","0,0355","0,0358","0,0358","0,0353","22,40B","-0,60%"
"17.09.2020","0,0357","0,0356","0,0358","0,0353","24,48B","-0,25%"
"16.09.2020","0,0358","0,0362","0,0363","0,0357","22,06B","-1,08%"
"15.09.2020","0,0362","0,0358","0,0362","0,0356","24,93B","1,08%"
"14.09.2020","0,0358","0,0355","0,0359","0,0355","24,48B","1,07%"
"11.09.2020","0,0354","0,0352","0,0354","0,0351","13,26B","0,77%"
"10.09.2020","0,0351","0,0351","0,0355","0,0346","24,68B","0,34%"
"09.09.2020","0,0350","0,0348","0,0351","0,0347","14,81B","0,59%"
"08.09.2020","0,0348","0,0353","0,0353","0,0345","26,90B","-1,09%"
"07.09.2020","0,0352","0,0353","0,0354","0,0351","14,16B","-0,35%"
"04.09.2020","0,0353","0,0350","0,0354","0,0348","20,97B","0,73%"
"03.09.2020","0,0351","0,0355","0,0356","0,0349","34,15B","-1,34%"
"02.09.2020","0,0356","0,0361","0,0362","0,0352","29,99B","-1,41%"
"01.09.2020","0,0361","0,0354","0,0361","0,0354","24,62B","1,95%"
"31.08.2020","0,0354","0,0361","0,0362","0,0351","29,83B","-1,60%"
