"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.09.2020","65,23","64,75","65,35","64,60","783,84K","0,94%"
"29.09.2020","64,62","63,95","64,77","63,77","1,91M","0,64%"
"28.09.2020","64,21","64,30","64,53","63,64","1,95M","1,39%"
"25.09.2020","63,33","62,04","63,45","61,53","3,20M","2,59%"
"24.09.2020","61,73","63,39","63,78","61,67","3,94M","-4,74%"
"23.09.2020","64,80","67,75","69,60","64,53","8,34M","-1,91%"
"22.09.2020","66,06","60,19","66,26","59,01","11,00M","11,80%"
"21.09.2020","59,09","59,17","59,62","58,72","2,68M","-3,08%"
"18.09.2020","60,97","60,92","61,50","60,14","2,13M","0,10%"
"17.09.2020","60,91","59,96","60,94","59,39","2,50M","-1,01%"
"16.09.2020","61,53","61,81","62,41","61,37","2,27M","-1,19%"
"15.09.2020","62,27","63,76","63,76","62,07","3,42M","-0,50%"
"14.09.2020","62,58","62,15","62,99","62,06","1,39M","1,23%"
"11.09.2020","61,82","61,87","62,51","61,09","2,43M","1,43%"
"10.09.2020","60,95","62,97","63,12","60,89","2,76M","-2,60%"
"09.09.2020","62,58","62,08","62,73","61,81","2,78M","2,37%"
"08.09.2020","61,13","62,56","62,68","60,98","6,39M","-5,14%"
"04.09.2020","64,44","65,91","65,96","63,10","6,51M","-1,24%"
"03.09.2020","65,25","66,45","66,79","64,71","4,99M","-3,45%"
"02.09.2020","67,58","67,97","68,27","65,03","5,12M","-0,37%"
"01.09.2020","67,83","68,87","69,40","67,74","5,71M","-0,59%"
"31.08.2020","68,23","68,04","69,32","66,68","19,73M","4,57%"
"28.08.2020","65,25","65,40","66,19","65,00","2,51M","1,02%"
"27.08.2020","64,59","65,68","65,78","63,86","3,18M","-1,40%"
"26.08.2020","65,51","65,71","66,47","65,13","5,11M","-2,18%"
"25.08.2020","66,97","66,25","67,11","65,71","3,17M","2,62%"
"24.08.2020","65,26","64,86","65,26","64,42","3,44M","2,66%"
"21.08.2020","63,57","63,39","64,13","63,16","3,29M","-0,09%"
"20.08.2020","63,63","63,39","63,73","62,42","5,64M","1,87%"
"19.08.2020","62,46","62,26","62,95","61,87","4,54M","1,73%"
"18.08.2020","61,40","61,50","61,73","60,97","3,90M","1,30%"
"17.08.2020","60,61","61,01","61,60","60,51","4,31M","0,94%"
"14.08.2020","60,04","60,64","60,65","59,92","2,85M","0,93%"
"13.08.2020","59,49","60,81","61,40","59,01","5,58M","2,71%"
